#property,value,lower_error,upper_error,source
Argument of periastron e; $w_\mathrm{e}$ (deg),59.09314212933056,34.81470991863984,250.88031255268237,derived
Period ratio; $P_\mathrm{e} / P_\mathrm{b}$,100.4373744045156,0.37723809056609525,0.393787528049927,derived
Period ratio; $P_\mathrm{e} / P_\mathrm{c}$,3.2293854251977465,0.012124583556645696,0.012667783089469253,derived
Period ratio; $P_\mathrm{e} / P_\mathrm{d}$,11.467013293276969,0.04346995799920883,0.046113565730658834,derived
Limb darkening; $u_\mathrm{1; n20160213.Kepler.K2.Tran}$,0.7303793613479435,0.11625007210889249,0.11293816543357849,derived
Limb darkening; $u_\mathrm{2; n20160213.Kepler.K2.Tran}$,0.20698736422056954,0.1392167889091244,0.13331226173539715,derived
Limb darkening; $u_\mathrm{1; n20161031.Spit45.Spit.Tran}$,0.07376177452692013,0.055089395377368205,0.11337785609671168,derived
Limb darkening; $u_\mathrm{2; n20161031.Spit45.Spit.Tran}$,0.48989862816758567,0.2537297653361163,0.23357050629962772,derived
Limb darkening; $u_\mathrm{1; n20161002.HARPS-N_RM.RV}$,0.6265265067289794,0.4225248839050775,0.5766132467981491,derived
Limb darkening; $u_\mathrm{2; n20161002.HARPS-N_RM.RV}$,-0.017748165138466925,0.4183999441942723,0.42855637899258614,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),1.5124645620323736,0.14065252507470727,0.16446618994889017,derived
Projected stellar rotation; $v \sin i_\star$ (km/s),1.8487180842298976,0.5451410528737444,0.610693921440693,derived
Spin-orbit angle c; $\lambda_\mathrm{c}$ (deg),-48.07572501946784,19.520787932084858,28.373663987003283,derived
Stellar mass; $M_\star$ ($M_\odot$),0.8612078655126509,0.025093824230755235,0.032899044948897394,derived
Stellar surface gravity; $\log g_\star$ (cgs),4.436473879487754,0.02818421196665266,0.031573184290275336,derived
Distance; $d$ (pc),47.23634442003932,0.046833117867315366,0.046670030656457584,derived
Stellar age; $\tau_{A}$ (Gyr),11.595869819073432,3.2905379617590462,1.6494714027017423,derived
