#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
variance_flux_n20260122.V.CHPS.Tran,-4.838096479080438e-10,5.983189410270215e-10,6.764525040101816e-10,$\sigma^2_{\rm n20260122.V.CHPS.Tran}$,relflux2
variance_flux_n20260122.V.HST.Tran,5.0375146650513664e-05,3.3990216106431285e-05,3.380888837866013e-05,$\sigma^2_{\rm n20260122.V.HST.Tran}$,relflux2
A_ldc_q1_n20160213.Kepler.K2.Tran,0.8798894170993322,0.0871373078150085,0.07368869158514257,$q_{1;\rm n20160213.Kepler.K2.Tran}$,
A_ldc_q2_n20160213.Kepler.K2.Tran,0.38979732054671856,0.06712804170044928,0.07234919010147867,$q_{2;\rm n20160213.Kepler.K2.Tran}$,
A_ldc_q1_n20260122.Kepler.K2.Tran,0.8798894170993322,(fixed),(fixed),$q_{1;\rm n20260122.Kepler.K2.Tran}$,
A_ldc_q2_n20260122.Kepler.K2.Tran,0.38979732054671856,(fixed),(fixed),$q_{2;\rm n20260122.Kepler.K2.Tran}$,
A_ldc_q1_n20161031.Spit45.Spit.Tran,0.3350584544264439,0.19105015216773516,0.27601556833291174,$q_{1;\rm n20161031.Spit45.Spit.Tran}$,
A_ldc_q2_n20161031.Spit45.Spit.Tran,0.0638272894643688,0.04879121810662238,0.13606859041560984,$q_{2;\rm n20161031.Spit45.Spit.Tran}$,
A_ldc_q1_n20260122.Spit45.Spit.Tran,0.3350584544264439,(fixed),(fixed),$q_{1;\rm n20260122.Spit45.Spit.Tran}$,
A_ldc_q2_n20260122.Spit45.Spit.Tran,0.0638272894643688,(fixed),(fixed),$q_{2;\rm n20260122.Spit45.Spit.Tran}$,
A_ldc_q1_n20180521.G141.HST_WFC3_G141.Tran,0.4952106588078817,0.3379210280502193,0.3426166037556268,$q_{1;\rm n20180521.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20180521.G141.HST_WFC3_G141.Tran,0.5029811890267953,0.34000180317685225,0.3389883406059694,$q_{2;\rm n20180521.G141.HST.WFC3.G141.Tran}$,
A_ldc_q1_n20180522.G141.HST_WFC3_G141.Tran,0.4952106588078817,(fixed),(fixed),$q_{1;\rm n20180522.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20180522.G141.HST_WFC3_G141.Tran,0.5029811890267953,(fixed),(fixed),$q_{2;\rm n20180522.G141.HST.WFC3.G141.Tran}$,
