System,Teff,Teff_errup,Teff_errdn,Pflag,SOCatflag,lambdadeg,lambdadeg_errup,lambdadeg_errdn,psi,psi_errup,psi_errdn,Ref,Author_string,Ephemeris_reference,Ephemeris_Url,Method,Model,pl_letter,TIC,Gaia DR3,sep,sep_err,sep_ref,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag
HAT-P-11,4770,28,40,n,y,103,22,18,-999,-999,-999,Hirano et al. (2011),Hirano_et_al._(2011),2011PASJ...63S.531H,https://ui.adsabs.harvard.edu/abs/2011PASJ...63S.531H,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 28230919,Gaia DR3 2086512227851023872,,,,0,
HAT-P-11,4770,28,40,y,n,133.9,7.1,8.3,104.9,8.6,9.1,Bourrier et al. (2023),Bourrier_et_al._(2023),2023A+A...669A..63B,https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,RMR,,b,TIC 28230919,Gaia DR3 2086512227851023872,,,,0,
HAT-P-11,4770,28,40,n,n,106,15,12,106,15,11,Sanchis-Ojeda et al. (2011) solution 1,Sanchis-Ojeda_et_al._(2011)_solution_1,2011ApJ...743...61S,https://ui.adsabs.harvard.edu/abs/2011ApJ...743...61S,SC,,b,TIC 28230919,Gaia DR3 2086512227851023872,,,,0,
HAT-P-11,4770,28,40,n,n,121,24,21,97,8,4,Sanchis-Ojeda et al. (2011) solution 2,Sanchis-Ojeda_et_al._(2011)_solution_2,2011ApJ...743...61S,https://ui.adsabs.harvard.edu/abs/2011ApJ...743...61S,SC,,b,TIC 28230919,Gaia DR3 2086512227851023872,,,,0,
HAT-P-12,4665,45,45,y,y,-54,41,13,-999,-999,-999,Mancini et al. (2018),Mancini_et_al._(2018),2018A+A...613A..41M,https://ui.adsabs.harvard.edu/abs/2018A%26A...613A..41M,RM,Covino +2013: Simulated data,b,TIC 198108326,Gaia DR3 1499514786891168640,,,,0,
HAT-P-13,5653,90,90,y,y,1.9,8.6,8.6,-999,-999,-999,Winn et al. (2010),Winn_et_al._(2010),2010ApJ...718..575W,https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 20096620,Gaia DR3 1014520826353577088,,,,0,
HAT-P-14,6600,90,90,y,y,189.1,5.1,5.1,-999,-999,-999,Winn et al. (2011),Winn_et_al._(2011),2011AJ....141...63W,https://ui.adsabs.harvard.edu/abs/2011AJ....141...63W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 101721385,Gaia DR3 1340497608486742400,3310,,Ngo et al. (2015),0,N
HAT-P-15,5620,20,20,y,y,13,6,6,-999,-999,-999,Mancini et al. (2022),Mancini_et_al._(2022),2022A+A...664A.162M,https://ui.adsabs.harvard.edu/abs/2022A%26A...664A.162M,RM,Covino +2013: Simulated data,b,TIC 353459965,Gaia DR3 179498266829041664,,,,0,
HAT-P-16,6110,67,67,n,n,-10,16,16,-999,-999,-999,Moutou et al. (2011),Moutou_et_al._(2011),2011A+A...533A.113M,https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.113M,RM,Ohta+2005,b,TIC 191284318,Gaia DR3 381592313648387200,5136,31,Rice2024,0,NG
HAT-P-16,6110,67,67,y,y,-2,55,46,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 191284318,Gaia DR3 381592313648387200,5136,31,Rice2024,0,NG
HAT-P-17,5350,20,20,n,n,19,14,16,-999,-999,-999,Fulton et al. (2013),Fulton_et_al._(2013),2013ApJ...772...80F,https://ui.adsabs.harvard.edu/abs/2013ApJ...772...80F,RM,Hirano+2011,b,TIC 266593143,Gaia DR3 1849786481032616960,,,,0,
HAT-P-17,5350,20,20,y,y,-27.5,6.7,6.7,-999,-999,-999,Mancini et al. (2022),Mancini_et_al._(2022),2022A+A...664A.162M,https://ui.adsabs.harvard.edu/abs/2022A%26A...664A.162M,RM,Covino +2013: Simulated data,b,TIC 266593143,Gaia DR3 1849786481032616960,,,,0,
HAT-P-18,4870,50,50,y,y,132,15,15,-999,-999,-999,Esposito et al. (2014),Esposito_et_al._(2014),2014A+A...564L..13E,https://ui.adsabs.harvard.edu/abs/2014A%26A...564L..13E,RM,Covino +2013: Simulated data,b,TIC 21744120,Gaia DR3 1334573817793362560,415,2178,Rice2024,0,G
HAT-P-20,4595,45,45,y,y,-8,6.9,6.9,36,10,12,Esposito et al. (2017),Esposito_et_al._(2017),2017A+A...601A..53E,https://ui.adsabs.harvard.edu/abs/2017A%26A...601A..53E,RM,Covino +2013: Simulated data,b,TIC 26826078,Gaia DR3 869913435026514688,595,509,Rice2024,0,F
HAT-P-21,5695,45,45,y,y,-0.7,12.5,12.5,-999,-999,-999,Mancini et al. (2022),Mancini_et_al._(2022),2022A+A...664A.162M,https://ui.adsabs.harvard.edu/abs/2022A%26A...664A.162M,RM,Covino +2013: Simulated data,b,TIC 17993892,Gaia DR3 770622651659107712,,,,0,
HAT-P-22,5314,50,50,y,y,-2.1,3,3,24,18,18,Mancini et al. (2018),Mancini_et_al._(2018),2018A+A...613A..41M,https://ui.adsabs.harvard.edu/abs/2018A%26A...613A..41M,RM,Covino +2013: Simulated data,b,TIC 252479260,Gaia DR3 846946629987527168,743,23,Rice2024,0,FNG
HAT-P-23,5885,72,72,y,y,15,22,22,-999,-999,-999,Moutou et al. (2011),Moutou_et_al._(2011),2011A+A...533A.113M,https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.113M,RM,Ohta+2005,b,TIC 305243225,Gaia DR3 1808938730710633984,,,,0,
HAT-P-24,6373,80,80,y,y,20,16,16,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 440777904,Gaia DR3 3167323052618369408,2241,692,Rice2024,0,NG
HAT-P-27,5316,55,55,y,y,24.2,76,44.5,-999,-999,-999,Brown et al. (2012),Brown_et_al._(2012),2012ApJ...760..139B,https://ui.adsabs.harvard.edu/abs/2012ApJ...760..139B,RM,Hirano+2011,b,TIC 461239485,Gaia DR3 1159336403336463872,133,9,Ngo et al. (2015),1,N
HAT-P-29,6140,30,30,y,y,-26,16,16,-999,-999,-999,Mancini et al. (2022),Mancini_et_al._(2022),2022A+A...664A.162M,https://ui.adsabs.harvard.edu/abs/2022A%26A...664A.162M,RM,Covino +2013: Simulated data,b,TIC 250707118,Gaia DR3 359058441314838528,1059,120,Ngo et al. (2015),0,N
HAT-P-30,6338,42,42,n,y,73.5,9,9,-999,-999,-999,Johnson et al. (2011),Johnson_et_al._(2011),2011ApJ...735...24J,https://ui.adsabs.harvard.edu/abs/2011ApJ...735...24J,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 455135327,Gaia DR3 3096441729861716224,808,55,Rice2024,0,NG
HAT-P-30,6338,42,42,y,n,70.5,2.9,2.8,-999,-999,-999,Cegla et al. (2023),Cegla_et_al._(2023),2023A+A...674A.174C,https://ui.adsabs.harvard.edu/abs/2023A%26A...674A.174C,RRM,,b,TIC 455135327,Gaia DR3 3096441729861716224,808,55,Rice2024,0,NG
HAT-P-32,6269,64,64,y,y,85,1.5,1.5,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 292152376,Gaia DR3 356348286886230272,936,,"Ngo et al. (2015), Ginski et al. (2016)",0,SN
HAT-P-33,6446,88,88,y,y,-5.9,4.1,4.1,-999,-999,-999,Bourrier et al. (2023),Bourrier_et_al._(2023),2023A+A...669A..63B,https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,RMR,,b,TIC 239154970,Gaia DR3 893550942158776832,118,,https://exoplanet.eu/catalog/hat_p_33_ab--860/,0,SN
HAT-P-34,6442,88,88,y,y,0,14,14,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 278348461,Gaia DR3 1810218734058821632,,,,0,
HAT-P-36,5620,40,40,y,y,-14,18,18,0,63,0,Mancini et al. (2015),Mancini_et_al._(2015),2015A+A...579A.136M,https://ui.adsabs.harvard.edu/abs/2015A%26A...579A.136M,RM,Covino +2013: Simulated data,b,TIC 373693175,Gaia DR3 1541532207133249920,,,,0,
HAT-P-41,6390,94,43,y,n,-22.1,0.8,6,-999,-999,-999,Johnson et al. (2017),Johnson_et_al._(2017),2017AJ....154..137J,https://ui.adsabs.harvard.edu/abs/2017AJ....154..137J,DT,,b,TIC 398895470,Gaia DR3 4290415081653653632,1239,50,Rice2024,0,NG
HAT-P-41,6390,94,43,n,y,-4.4,5,5.6,-999,-999,-999,Zak et al. (2025),Zak_et_al._(2025),2025A+A...694A..91Z,https://ui.adsabs.harvard.edu/abs/2025A%26A...694A..91Z,RM,Boue2013,b,TIC 398895470,Gaia DR3 4290415081653653632,1239,50,Rice2024,0,NG
HAT-P-49,6820,52,52,y,y,-97.7,1.8,1.8,-999,-999,-999,Bourrier et al. (2023),Bourrier_et_al._(2023),2023A+A...669A..63B,https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,RMR,,b,TIC 99224131,Gaia DR3 1835842749465226368,,,,0,
HAT-P-50,6280,49,49,y,y,41,10,9,-999,-999,-999,Zak et al. (2025),Zak_et_al._(2025),2025A+A...694A..91Z,https://ui.adsabs.harvard.edu/abs/2025A%26A...694A..91Z,RM,Boue2013,b,TIC 17746821,Gaia DR3 3151961363348862720,,,,0,
HAT-P-56,6566,50,50,y,y,8,2,2,-999,-999,-999,Zhou et al. (2016),Zhou_et_al._(2016),2016MNRAS.460.3376Z,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.3376Z,DT,,b,TIC 84339983,Gaia DR3 3385777286999240576,,,,0,
HAT-P-67,6406,65,61,y,y,2.2,0.4,0.4,-999,-999,-999,Sicilia et al. (2024),Sicilia_et_al._(2024),2024A+A...687A.143S,https://ui.adsabs.harvard.edu/abs/2024A%26A...687A.143S,RM,Esposito+2017,b,TIC 198588220,Gaia DR3 1358614983131339392,3386,,,0,NG
HAT-P-69,7394,360,600,y,y,21.2,4.6,3.6,-999,-999,-999,Zhou et al. (2019),Zhou_et_al._(2019),2019AJ....158..141Z,https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z,DT,#N/A,b,TIC 379929661,Gaia DR3 3080104185367102592,,,,0,
HAT-P-70,8450,195,195,n,n,113.1,5.1,3.4,-999,-999,-999,Zhou et al. (2019),Zhou_et_al._(2019),2019AJ....158..141Z,https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z,DT,,b,TIC 399870368,Gaia DR3 3291455819447952768,34,993,,0,
HAT-P-70,8450,195,195,y,y,107.9,2,1.7,-999,-999,-999,Bello-Arufe et al. (2022),Bello-Arufe_et_al._(2022),2022AJ....163...96B,https://ui.adsabs.harvard.edu/abs/2022AJ....163...96B,DT,,b,TIC 399870368,Gaia DR3 3291455819447952768,34,993,,0,
HATS-02,5227,95,95,y,y,3,18,18,38,27,27,Biagiotti et al. (2024),Biagiotti_et_al._(2024),2024A+A...685A.131B,https://ui.adsabs.harvard.edu/abs/2024A%26A...685A.131B,RM,#N/A,b,TIC 413376180,Gaia DR3 3492502001623237888,,,,0,
HATS-02,5227,95,95,n,n,8,8,8,-999,-999,-999,Mohler-Fischer et al. (2013),Mohler-Fischer_et_al._(2013),2013A+A...558A..55M,https://ui.adsabs.harvard.edu/abs/2013A%26A...558A..55M,SC,,b,TIC 413376180,Gaia DR3 3492502001623237888,,,,0,
HATS-03,6351,76,76,y,y,3,25,25,-999,-999,-999,Addison et al. (2014),Addison_et_al._(2014),2014ApJ...792..112A,https://ui.adsabs.harvard.edu/abs/2014ApJ...792..112A,RM,Hirano+2010,b,TIC 336732616,Gaia DR3 6805886373600546176,,,,0,
HATS-14,5346,60,60,y,y,76,4,5,-999,-999,-999,Zhou et al. (2015),Zhou_et_al._(2015),2015ApJ...814L..16Z,https://ui.adsabs.harvard.edu/abs/2015ApJ...814L..16Z,RM,ARoME,b,TIC 29344935,Gaia DR3 6805149288493408640,,,,1,
HATS-38,5662,80,80,y,y,-108,11,16,-999,-999,-999,Espinoza-Retamal et al. (2024),Espinoza-Retamal_et_al._(2024),2024AJ....168..185E,https://ui.adsabs.harvard.edu/abs/2024AJ....168..185E,RM,Hirano+2010,b,TIC 168281028,Gaia DR3 5472386851683941376,,,,0,
HATS-70,7930,180,180,y,y,8.9,5.6,4.5,-999,-999,-999,Zhou et al. (2019),Zhou_et_al._(2019),2019AJ....157...31Z,https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z,DT,,b,TIC 98545929,Gaia DR3 5605119586158973440,,,,0,
HD_003167b,5300,73,73,y,y,-6.6,6.6,7.9,29.5,7.2,9.4,Bourrier et al. (2021),Bourrier_et_al._(2021),2021A+A...654A.152B,https://ui.adsabs.harvard.edu/abs/2021A%26A...654A.152B,RMR,,b,TIC 318707987,Gaia DR3 2554032474712538880,,,,0,
HD_003167c,5300,73,73,n,n,-98,23,23,-999,-999,-999,Dalal et al. (2019),Dalal_et_al._(2019),2019A+A...631A..28D,https://ui.adsabs.harvard.edu/abs/2019A%26A...631A..28D,RM,Ohta+2005,c,TIC 318707987,Gaia DR3 2554032474712538880,,,,0,
HD_003167c,5300,73,73,y,y,-108.9,5.4,5.5,107.7,5.1,4.9,Bourrier et al. (2021),Bourrier_et_al._(2021),2021A+A...654A.152B,https://ui.adsabs.harvard.edu/abs/2021A%26A...654A.152B,RMR,,c,TIC 318707987,Gaia DR3 2554032474712538880,,,,0,
HD_017156,6046,76,72,n,n,62,25,25,-999,-999,-999,Narita et al. (2008),Narita_et_al._(2008),2008PASJ...60L...1N,https://ui.adsabs.harvard.edu/abs/2008PASJ...60L...1N,RM,Ohta+2005,b,TIC 302773669,Gaia DR3 545560867790611072,,,,0,
