System,Teff,Teff_errup,Teff_errdn,Pflag,SOCatflag,lambdadeg,lambdadeg_errup,lambdadeg_errdn,psi,psi_errup,psi_errdn,Ref,Author_string,Ephemeris_reference,Ephemeris_Url,Method,Model,pl_letter,TIC,Gaia DR3,sep,sep_err,sep_ref,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag
HD_017156,6046,76,72,n,n,9.4,9.3,9.3,-999,-999,-999,Cochran et al. (2008),Cochran_et_al._(2008),2008ApJ...683L..59C,https://ui.adsabs.harvard.edu/abs/2008ApJ...683L..59C,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 302773669,Gaia DR3 545560867790611072,,,,0,
HD_017156,6046,76,72,n,n,-4.8,5.3,5.3,-999,-999,-999,Barbieri et al. (2009),Barbieri_et_al._(2009),2009A+A...503..601B,https://ui.adsabs.harvard.edu/abs/2009A%26A...503..601B,RM,Giménez 2006,b,TIC 302773669,Gaia DR3 545560867790611072,,,,0,
HD_017156,6046,76,72,y,y,10,5.1,5.1,-999,-999,-999,Narita et al. (2009),Narita_et_al._(2009),2009PASJ...61..991N,https://ui.adsabs.harvard.edu/abs/2009PASJ...61..991N,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 302773669,Gaia DR3 545560867790611072,,,,0,
HD_063433b,5700,76,75,y,y,8,33,45,-999,-999,-999,Mann et al. (2020),Mann_et_al._(2020),2020AJ....160..179M,https://ui.adsabs.harvard.edu/abs/2020AJ....160..179M,RM,Hirano+2011,b,TIC 130181866,Gaia DR3 875071278432954240,,,,0,
HD_080606,5584,13,13,n,n,50,61,36,-999,-999,-999,Pont et al. (2009),Pont_et_al._(2009),2009A+A...502..695P,https://ui.adsabs.harvard.edu/abs/2009A%26A...502..695P,RM,Ohta+2005,b,TIC 457134360,Gaia DR3 1019003226022657920,1354,7,Rice2024,0,SFNG
HD_080606,5584,13,13,n,n,53,34,21,-999,-999,-999,Winn et al. (2009),Winn_et_al._(2009),2009ApJ...703.2091W,https://ui.adsabs.harvard.edu/abs/2009ApJ...703.2091W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 457134360,Gaia DR3 1019003226022657920,1354,7,Rice2024,0,SFNG
HD_080606,5584,13,13,y,y,42,8,8,-999,-999,-999,H&eacute;brard et al. (2010),H&eacute;brard_et_al._(2010),2010A+A...516A..95H,https://ui.adsabs.harvard.edu/abs/2010A%26A...516A..95H,RM,Ohta+2005,b,TIC 457134360,Gaia DR3 1019003226022657920,1354,7,Rice2024,0,SFNG
HD_093963c,5987,64,64,y,y,14,17,19,-999,-999,-999,Teng et al. (2025),Teng_et_al._(2025),arXiv:2505.10804,https://ui.adsabs.harvard.edu/abs/arXiv:2505.10804,RM,Hirano2011,c,TIC 368435330,Gaia DR3 729899906357408768,484,,,0,NG
HD_106315c,6364,87,87,n,n,-10.9,3.6,3.8,-999,-999,-999,Zhou et al. (2018),Zhou_et_al._(2018),2018AJ....156...93Z,https://ui.adsabs.harvard.edu/abs/2018AJ....156...93Z,DT,,c,TIC 56815340,Gaia DR3 3698307419878650240,,,,0,
HD_106315c,6364,87,87,y,y,-2.7,2.7,2.6,-999,-999,-999,Bourrier et al. (2023),Bourrier_et_al._(2023),2023A+A...669A..63B,https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,RMR,,c,TIC 56815340,Gaia DR3 3698307419878650240,,,,0,
