# System          : planet name (NASA Exoplanet Archive convention)
# q               : planet-to-star mass ratio, M_p/M_star
# q_errup/errdn   : q uncertainty (planet-mass and stellar-mass errors propagated)
# af_Rp           : eccentricity-corrected separation a(1-e^2)/R_p, applied to all
#                   systems using the catalog eccentricity (missing e treated as 0)
# af_Rp_errup/errdn : af_Rp uncertainty (R_p, M_star, P errors propagated, scaled by 1-e^2)
# abs_lambda_deg  : sky-projected obliquity |lambda|, normalized to [0, 180] deg
# lambda_errup/errdn : |lambda| uncertainty (swapped when reflected into [0, 180])
# Teff_K          : host-star effective temperature [K]
# Teff_errup/errdn : Teff uncertainty [K]
# ecc             : orbital eccentricity (0 when not reported)
# ecc_errup/errdn : eccentricity uncertainty
# tau_e_Gyr       : eccentricity-damping timescale tau_e [Gyr] (Jackson et al. 2008),
#                   regime-dependent Q_p as in Fig 2: Q_p = 5e5 for q > 3e-4 (stellar
#                   tide added for q > 2e-3), Q_p = 5.4e3 for 5e-5 < q <= 3e-4,
#                   Q_p = 100 for q <= 5e-5
# tau_e_errup/errdn : tau_e uncertainty from a 20000-draw Monte-Carlo propagation of
#                   Mp, M*, Rp, R*, P and the tidal Q_p (log-normal, 0.3 dex ~ factor 2,
#                   matching Kawai+2025); 16th/84th percentiles. Age is not folded in
#                   here (this is absolute tau_e; age is a separate column).
# age_Gyr         : stellar age [Gyr] (catalog value; TRAPPIST-1 from Burgasser &
#                   Mamajek 2017); empty when unavailable
# age_errup/errdn : stellar age uncertainty [Gyr]
# binary          : Y = has stellar companion(s), excluded from the statistical
#                   tests (shown in figures only); N = single star
System,q,q_errup,q_errdn,af_Rp,af_Rp_errup,af_Rp_errdn,abs_lambda_deg,lambda_errup,lambda_errdn,Teff_K,Teff_errup,Teff_errdn,ecc,ecc_errup,ecc_errdn,tau_e_Gyr,tau_e_errup,tau_e_errdn,age_Gyr,age_errup,age_errdn,binary
HAT-P-67 b,5.838e-05,9.34e-05,4.67e-05,59.0,1.2,0.9,6.2,3.7,3.6,6600,110,110,0.36,0.21,0.26,5.979e-04,1.21e-03,5.98e-04,1.71,0.23,0.2,Y
HAT-P-69 b,1.320e-03,2.02e-04,1.97e-04,89.5,1.5,1.2,21.2,4.6,3.6,7760,170,170,0.1,0.11,0.07,4.711e-01,4.67e-01,2.41e-01,0.75,0.18,0.17,N
HAT-P-7 b,1.100e-03,4.62e-05,4.87e-05,55.3,0.8,0.7,163.0,10.0,14.0,6490,100,100,0.013,0.015,0.009,1.559e-02,1.55e-02,7.71e-03,1.67,0.42,0.36,Y
HAT-P-8 b,9.960e-04,6.71e-05,6.16e-05,72.0,1.3,1.4,17.4,6.6,6.9,6113,81,79,0.013,0.018,0.009,7.327e-02,7.14e-02,3.64e-02,3.7,1.3,1,Y
HAT-P-9 b,5.994e-04,7.70e-05,7.45e-05,84.6,1.5,1.8,25.1,8.0,7.4,6240,100,100,0.064,0.058,0.044,1.288e-01,1.30e-01,6.49e-02,2.1,1.9,1.3,N
HATS-2 b,1.656e-03,1.47e-04,2.58e-04,38.5,1.1,1.1,3.0,18.0,18.0,5227,95,95,0.29,0.0,0.0,3.662e-03,3.44e-03,1.94e-03,9.7,2.9,2.9,N
HATS-3 b,8.349e-04,1.50e-04,1.49e-04,77.9,1.6,1.7,13.0,8.0,11.0,6300,120,120,0.133,0.094,0.086,1.148e-01,1.18e-01,5.84e-02,2.7,1.8,1.5,N
HATS-38 b,6.504e-05,1.93e-05,1.76e-05,177.5,4.7,3.6,101.6,8.9,6.9,5710,110,110,0.14,0.17,0.09,8.210e-02,8.06e-02,8.19e-02,8.5,3.4,4.1,N
HATS-70 b,5.738e-03,9.64e-04,9.85e-04,62.8,1.6,1.4,8.9,5.6,4.5,8110,510,370,0.069,0.083,0.049,1.314e-01,1.26e-01,6.68e-02,0.59,0.21,0.19,N
HD 106315 c,4.184e-05,1.03e-05,1.03e-05,806.1,43.5,43.5,2.7,2.6,2.7,6364,87,87,0.22,0.15,0.15,9.508e-01,4.55e+02,4.97e-01,4.48,0.96,0.96,N
HD 118203 b,1.719e-03,5.85e-05,5.24e-05,124.9,1.3,1.4,2.0,12.0,13.0,5751,48,46,0.301,0.004,0.004,6.389e+00,6.10e+00,3.17e+00,5.23,0.66,0.54,N
HD 149026 b,2.204e-04,1.42e-05,1.44e-05,123.9,2.4,2.1,5.0,13.0,15.0,6074,83,86,0.024,0.027,0.017,2.752e-02,2.73e-02,1.37e-02,2.5,1.3,1.1,N
HD 17156 b,2.388e-03,1.15e-04,1.17e-04,174.3,3.5,3.0,2.0,3.7,3.7,6002,68,66,0.677,0.002,0.002,2.159e+03,2.12e+03,1.07e+03,3.5,1.1,1,N
HD 189733 b,1.224e-03,3.65e-05,3.24e-05,60.2,0.6,0.6,0.3,0.3,0.3,5032,42,40,0.009,0.001,0.001,2.660e-02,2.65e-02,1.32e-02,0.7,1.2,0.5,Y
HD 191939 b,3.044e-05,2.79e-06,2.91e-06,555.4,12.1,9.4,6.0,15.0,14.0,5497,96,89,0.063,0.05,0.045,3.605e-02,3.54e-02,1.80e-02,8.2,3.4,4,N
HD 209458 b,5.763e-04,2.57e-05,2.39e-05,71.7,1.5,1.2,0.5,0.3,0.3,6107,66,62,0.009,0.005,0.005,4.748e-02,4.48e-02,2.43e-02,1.7,1.4,1,N
HD 2685 b,7.810e-04,8.30e-05,8.46e-05,83.6,3.1,3.0,55.6,10.9,11.9,6801,56,56,0.091,0.039,0.047,1.697e-01,1.80e-01,8.74e-02,1.31,0.34,0.47,N
HD 3167 b,1.715e-05,1.18e-06,1.22e-06,280.7,6.9,5.1,6.6,7.9,6.6,5302,69,74,0.028,0.047,0.021,7.127e-05,6.96e-05,3.59e-05,6.8,4.4,4.1,N
HD 332231 b,2.067e-04,2.27e-05,2.27e-05,353.9,13.7,13.0,2.0,6.0,6.0,6089,97,96,0.032,0.03,0.022,3.204e+01,3.27e+01,1.65e+01,4.3,2.5,1.9,N
HD 80606 b,3.809e-03,2.21e-04,1.93e-04,122.9,5.6,4.6,46.5,8.3,6.8,5602,76,72,0.932,0.0,0.0,3.705e+06,3.81e+06,1.94e+06,2.9,3.1,2,Y
HIP 33609 b,2.898e-02,4.48e-03,4.21e-03,284.2,9.6,10.1,12.7,1.3,1.3,10800,1000,800,0.565,0.029,0.031,1.573e+05,1.15e+05,7.64e+04,0.26,0.25,0.17,N
HIP 41378 f,3.107e-05,7.84e-06,7.84e-06,3564.1,56.4,56.4,21.0,8.0,8.0,6290,77,77,0.0,0.0,0.0,2.396e+04,2.53e+04,1.29e+04,4.28,0.931,0.931,N
K2-139 b,3.560e-04,9.81e-05,1.09e-04,437.1,7.5,7.0,9.1,2.7,2.4,5126,84,77,0.112,0.06,0.051,2.123e+03,1.92e+03,1.95e+03,7.2,4.4,4.5,N
K2-140 b,8.039e-04,6.23e-05,5.90e-05,123.5,2.0,2.2,11.0,31.0,40.0,5609,73,76,0.041,0.028,0.023,1.896e+00,1.86e+00,9.44e-01,3.1,3.3,2.1,N
K2-232 b,3.799e-04,3.70e-05,3.63e-05,193.8,4.0,3.8,33.0,14.0,21.0,5863,38,37,0.248,0.019,0.02,1.971e+01,1.95e+01,1.00e+01,5.9,2.8,2.3,N
K2-234 b,8.733e-05,8.82e-06,7.93e-06,336.3,8.5,6.9,74.0,34.0,33.0,5500,100,100,0.269,0.041,0.041,9.587e+00,9.31e+00,4.91e+00,7.9,1.4,1,N
K2-25 b,2.804e-04,1.49e-04,1.39e-04,171.2,5.5,5.9,15.0,31.0,33.0,3165,59,59,0.366,0.079,0.077,4.378e-01,6.42e+00,2.76e-01,7.1,4.6,4.8,N
K2-267 b,2.156e-03,8.57e-04,8.57e-04,136.3,2.8,3.2,1.5,0.8,0.8,6480,150,150,0.15,0.15,0.1,8.654e+00,9.38e+00,5.17e+00,1.77,0.83,0.69,Y
K2-287 b,2.570e-04,2.81e-05,2.77e-05,223.2,7.0,7.2,25.0,12.0,12.0,5590,140,160,0.482,0.026,0.027,1.181e+01,1.88e+01,5.75e+00,6.4,4.2,3.9,N
K2-29 b,7.793e-04,6.52e-05,6.06e-05,81.7,1.6,1.6,10.0,13.0,13.0,5110,100,100,0.044,0.034,0.03,1.156e-01,1.15e-01,5.71e-02,4.5,4,3.1,Y
K2-290 c,5.993e-04,4.76e-05,4.67e-05,562.3,9.1,9.6,157.4,7.3,7.4,6180,110,100,0.114,0.034,0.033,2.152e+04,2.15e+04,1.09e+04,4.16,0.9,0.67,Y
K2-329 b,2.750e-04,2.63e-05,2.94e-05,278.3,9.1,5.7,50.0,18.0,28.0,5209,80,82,0.103,0.047,0.051,8.953e+00,2.93e+01,4.25e+00,5.6,5.1,3.8,Y
K2-34 b,1.128e-03,7.32e-05,7.28e-05,71.8,1.8,1.7,1.6,9.6,9.0,6160,110,100,0.012,0.019,0.009,7.999e-02,8.04e-02,3.98e-02,4,1.7,1.4,N
KELT-1 b,1.901e-02,8.40e-04,7.91e-04,48.5,0.7,0.7,2.0,19.0,19.0,6603,94,93,0.009,0.01,0.007,6.915e-02,5.66e-02,3.29e-02,0.81,0.58,0.43,N
KELT-10 b,6.573e-04,4.44e-05,4.44e-05,81.9,1.6,1.5,17.0,23.0,18.0,5826,85,88,0.025,0.026,0.017,1.252e-01,1.26e-01,6.17e-02,6.8,2.8,2.3,N
KELT-11 b,1.395e-04,2.17e-05,2.00e-05,84.4,4.2,4.7,77.9,2.3,2.4,5190,120,110,0.154,0.055,0.054,4.739e-03,5.35e-03,2.48e-03,3.5,1,0.5,N
KELT-14 b,9.631e-04,4.94e-05,4.94e-05,41.0,1.0,0.9,0.0,1.0,1.0,5890,120,110,0.011,0.011,0.007,2.375e-03,2.35e-03,1.20e-03,4.2,1.5,1.2,Y
KELT-17 b,8.924e-04,2.15e-04,1.92e-04,63.3,0.8,0.8,127.5,6.5,7.7,7440,120,130,0.053,0.074,0.038,3.494e-02,3.68e-02,1.85e-02,0.58,0.25,0.21,N
KELT-18 b,1.217e-03,1.28e-04,1.15e-04,108.7,1.4,1.6,94.8,0.7,0.7,6610,90,110,0.032,0.037,0.023,6.600e-01,6.54e-01,3.32e-01,1.63,0.46,0.37,Y
KELT-23 A b,9.072e-04,4.32e-05,3.98e-05,57.0,0.8,0.9,179.8,5.4,5.4,5838,69,66,0.037,0.012,0.012,1.539e-02,1.48e-02,7.63e-03,2.7,2.3,1.7,Y
