System,TIC_ID,pl_mass,pl_mass_err1,pl_mass_err2,star_mass,star_mass_err1,star_mass_err2,Teff,errup,errdn,lambda,errup.1,errdn.1,Ephemeris_reference
WASP-079,TIC 170634116,0.85,0.08,-0.08,1.39,0.06,-0.06,6600,100,100,-95.2,0.9,1.0,2017MNRAS.464..810B
WASP-080,TIC 243921117,0.538,0.035,-0.036,0.58,0.05,-0.05,4145,100,100,-14.0,14.0,14.0,2015MNRAS.450.2279T
WASP-084b,TIC 350293646,0.692,0.058,-0.058,0.85,0.04,-0.04,5280,80,80,-0.3,1.7,1.7,2015ApJ...800L...9A
WASP-101,TIC 47911178,0.51,0.08,-0.08,1.41,0.3,-0.3,6380,120,120,34.0,3.0,3.0,2024A+A...686A.147Z
WASP-103,TIC 276754403,1.49,0.088,-0.088,1.22,0.04,-0.04,6110,160,160,2.0,35.0,36.0,2024A+A...686A.147Z
WASP-105,TIC 158623531,1.8,0.1,-0.1,0.89,0.09,-0.09,5070,130,130,-14.0,28.0,24.0,2024A+A...686A.147Z
WASP-106,TIC 53189332,1.62,0.94,-0.94,0.93,0.8,-0.8,6265,36,36,6.0,17.0,18.0,2023AJ....166..217W
TOI-2076b,TIC 27491137,0.05066,0.02611,-0.0258,0.86,0.02,-0.02,5200,100,100,-3.0,15.0,16.0,2023ApJ...944L..41F
WASP-109,TIC 335255072,0.91,0.13,0.13,1.203,0.09,0.09,6520,140,140,99.0,10.0,9.0,2018AJ....156..197A
WASP-117,TIC 166739520,0.3,0.05,-0.05,1.29,0.3,-0.3,6040,90,90,-46.9,5.5,4.8,2021A+A...646A.168C
WASP-120,TIC 152476657,4.85,0.21,-0.21,1.39,0.06,-0.06,6450,120,120,-2.0,4.0,4.0,2024A+A...686A.147Z
WASP-121,TIC 22529346,1.157,0.07,-0.07,1.36,0.07,-0.08,6586,59,59,-257.8,5.5,5.3,2016MNRAS.458.4025D
HD_106315c,TIC 56815340,0.04782,0.01164,-0.01164,1.09,0.04,-0.04,6364,87,87,-2.7,2.7,2.6,2023A+A...669A..63B
HD_332231,TIC 199376584,0.23314,0.01762,-0.01699,1.16,0.03,-0.03,6089,97,96,-2.0,6.0,6.0,2022A+A...660A..99K
WASP-148,TIC 115524421,0.29,0.03,0.03,0.95,0.03,-0.05,5460,130,130,-2.0,8.0,8.0,2024A%26A...690A.379K
WASP-166,TIC 408310006,0.101,0.005,-0.005,1.19,0.06,-0.06,6050,50,50,-0.7,0.6,0.6,2023A+A...669A..63B
WASP-174,TIC 102192004,0.33,0.091,-0.091,1.24,0.04,-0.04,6400,100,100,31.0,1.0,1.0,2018MNRAS.480.5307T
WASP-178,TIC 160708862,1.66,0.12,-0.12,2.07,0.11,-0.11,9360,150,150,105.7,3.6,4.2,arXiv:2406.08348
WASP-190,TIC 116156517,1.0,0.1,-0.1,1.35,0.05,-0.05,6400,100,100,21.0,6.0,6.0,2019AJ....157..141T
XO-3,TIC 8400842,13.0,0.04,0.04,1.4,0.07,0.07,6471,83,82,37.3,3.0,3.0,2011PASJ...63L..57H
XO-4,TIC 51234631,1.42,0.19,-0.19,1.1,0.22,-0.22,6397,70,70,-46.7,8.1,6.1,2010PASJ...62L..61N
TOI-2145,TIC 88992642,5.68,0.37,0.34,1.72,0.03,-0.04,6206,81,75,6.8,2.9,3.8,2024A%26A...690A.379K
HD 118203,TIC 286923464,2.17,0.07,0.08,1.22,0.02,-0.02,5683,85,85,-23.0,25.0,38.0,2024A%26A...690A.379K
WASP-069,TIC 248853232,0.29,0.03,-0.03,0.98,0.14,-0.14,4700,50,50,0.4,2.0,1.9,2017A+A...608A.135C
K2-287,TIC 73848324,0.32,0.03,0.03,1.06,0.02,-0.02,5695,58,58,23.0,12.0,13.0,2024A%26A...690A.379K
TOI-892,TIC 66561343,0.95,0.07,0.07,1.28,0.03,-0.02,6261,80,80,-12.0,18.0,16.0,2024A%26A...690A.379K
TOI-1130,TIC 254113311,0.97,0.04,0.04,0.74,0.01,-0.01,4250,67,67,4.0,5.0,6.0,2024A%26A...690A.379K
WASP-50,TIC 382391899,1.47,0.09,0.09,0.89,0.08,-0.07,5400,100,100,-2.9,1.2,1.2,2024A%26A...690A.379K
WASP-136,TIC 176220787,1.51,0.08,0.08,1.41,0.07,-0.07,6250,100,100,-38.0,16.0,18.0,2024A%26A...690A.379K
WASP-039,TIC 181949561,0.28,0.03,-0.03,0.93,0.03,-0.03,5485,50,50,0.0,11.0,11.0,2018A+A...613A..41M
WASP-172,TIC 453789494,0.47,0.1,0.1,1.49,0.07,-0.07,6900,150,150,115.0,6.0,6.0,2024A%26A...690A.379K
WASP-186,TIC 411608801,4.22,0.18,0.18,1.22,0.07,-0.08,6300,100,100,-10.0,18.0,16.0,2024A%26A...690A.379K
XO-7,TIC 268403451,0.71,0.03,0.03,1.41,0.06,-0.06,6250,100,100,0.0,20.0,14.0,2024A%26A...690A.379K
TOI-2119,TIC 236387002,64.4,2.3,2.2,0.53,0.02,0.02,3621,48,46,1.1,1.1,,2024arXiv241118567D

