# COLUMN pl_defaultname: NEA-style planet name (host + letter, e.g., "HAT-P-11 b")
# COLUMN hostname: Host star name
# COLUMN tic_id: TESS Input Catalog ID (e.g., "TIC 350020859")
# COLUMN pl_letter: Planet letter (b, c, ...)
# COLUMN pl_orbper: Orbital period [days]
# COLUMN pl_orbpererr1: Orbital period upper unc. [days]
# COLUMN pl_orbpererr2: Orbital period lower unc. [days]
# COLUMN pl_tranmid: Transit mid-time [BJD]
# COLUMN pl_tranmiderr1: Transit mid-time upper unc. [days]
# COLUMN pl_tranmiderr2: Transit mid-time lower unc. [days]
# COLUMN pl_tsystemref: Time system for transit mid-time (BJD_TDB)
# COLUMN pl_orbsmax: Orbital semi-major axis [AU]
# COLUMN pl_orbsmaxerr1: Semi-major axis upper unc. [AU]
# COLUMN pl_orbsmaxerr2: Semi-major axis lower unc. [AU]
# COLUMN pl_orbeccen: Orbital eccentricity (free only if a non-RM RV instrument is present and f_c/f_s float)
# COLUMN pl_orbeccenerr1: Eccentricity upper unc.
# COLUMN pl_orbeccenerr2: Eccentricity lower unc.
# COLUMN pl_orblper: Argument of periastron [deg] (reported when eccentricity is free)
# COLUMN pl_orblpererr1: Argument of periastron upper unc. [deg]
# COLUMN pl_orblpererr2: Argument of periastron lower unc. [deg]
# COLUMN pl_orbincl: Orbital inclination [deg]
# COLUMN pl_orbinclerr1: Inclination upper unc. [deg]
# COLUMN pl_orbinclerr2: Inclination lower unc. [deg]
# COLUMN pl_imppar: Impact parameter
# COLUMN pl_impparerr1: Impact parameter upper unc.
# COLUMN pl_impparerr2: Impact parameter lower unc.
# COLUMN pl_radj: Planet radius [R_Jup]
# COLUMN pl_radjerr1: Planet radius upper unc. [R_Jup]
# COLUMN pl_radjerr2: Planet radius lower unc. [R_Jup]
# COLUMN pl_massj: Planet mass [M_Jup] (reported for transiting planets with non-RM RV and free K)
# COLUMN pl_massjerr1: Planet mass upper unc. [M_Jup]
# COLUMN pl_massjerr2: Planet mass lower unc. [M_Jup]
# COLUMN pl_msinij: Minimum mass m sin i [M_Jup] (used in lieu of pl_massj for non-transiting planets)
# COLUMN pl_msinijerr1: m sin i upper unc. [M_Jup]
# COLUMN pl_msinijerr2: m sin i lower unc. [M_Jup]
# COLUMN pl_trandep: Transit depth [%] (allesfast ppt / 10)
# COLUMN pl_trandeperr1: Transit depth upper unc. [%]
# COLUMN pl_trandeperr2: Transit depth lower unc. [%]
# COLUMN pl_trandur: Transit duration T_14 [hours]
# COLUMN pl_trandurerr1: Transit duration upper unc. [hours]
# COLUMN pl_trandurerr2: Transit duration lower unc. [hours]
# COLUMN pl_ratdor: a / R*
# COLUMN pl_ratdorerr1: a / R* upper unc.
# COLUMN pl_ratdorerr2: a / R* lower unc.
# COLUMN pl_ratror: Rp / R*
# COLUMN pl_ratrorerr1: Rp / R* upper unc.
# COLUMN pl_ratrorerr2: Rp / R* lower unc.
# COLUMN pl_rvamp: RV semi-amplitude K [m/s]
# COLUMN pl_rvamperr1: K upper unc. [m/s]
# COLUMN pl_rvamperr2: K lower unc. [m/s]
# COLUMN pl_eqt: Equilibrium temperature [K]
# COLUMN pl_eqterr1: T_eq upper unc. [K]
# COLUMN pl_eqterr2: T_eq lower unc. [K]
# COLUMN pl_projobliq: Sky-projected obliquity lambda [deg]
# COLUMN pl_projobliqerr1: lambda upper unc. [deg]
# COLUMN pl_projobliqerr2: lambda lower unc. [deg]
# COLUMN pl_trueobliq: True obliquity psi [deg] (reserved; empty unless derived)
# COLUMN pl_trueobliqerr1: psi upper unc. [deg]
# COLUMN pl_trueobliqerr2: psi lower unc. [deg]
# COLUMN rm_snr_combined: Combined matched-filter RM SNR following Kipping (2024); per-dataset SNR = sqrt(Delta chi^2) (with vs. without RM signal, using effective error sqrt(err^2 + jitter)); multiple RM datasets combined in quadrature
# COLUMN st_name: Star name (same as hostname)
# COLUMN host_star_flag: Always 1 (this row is the host star)
# COLUMN st_refname: Reference / publication identifier (placeholder "999" until assigned)
# COLUMN st_teff: Effective temperature T_eff [K]
# COLUMN st_tefferr1: T_eff upper unc. [K]
# COLUMN st_tefferr2: T_eff lower unc. [K]
# COLUMN st_rad: Stellar radius R* [R_Sun]
# COLUMN st_raderr1: R* upper unc. [R_Sun]
# COLUMN st_raderr2: R* lower unc. [R_Sun]
# COLUMN st_mass: Stellar mass M* [M_Sun]
# COLUMN st_masserr1: M* upper unc. [M_Sun]
# COLUMN st_masserr2: M* lower unc. [M_Sun]
# COLUMN st_met: Metallicity [Fe/H] [dex] (sigma floor 0.08 dex)
# COLUMN st_meterr1: Metallicity upper unc. [dex]
# COLUMN st_meterr2: Metallicity lower unc. [dex]
# COLUMN st_metratio: Metallicity convention (always "[Fe/H]")
# COLUMN st_logg: Surface gravity log g* [cgs]
# COLUMN st_loggerr1: log g* upper unc. [cgs]
# COLUMN st_loggerr2: log g* lower unc. [cgs]
# COLUMN st_age: Stellar age [Gyr]
# COLUMN st_ageerr1: Age upper unc. [Gyr]
# COLUMN st_ageerr2: Age lower unc. [Gyr]
# COLUMN st_vsin: Projected rotation velocity v sin i* [km/s]
# COLUMN st_vsinerr1: v sin i* upper unc. [km/s]
# COLUMN st_vsinerr2: v sin i* lower unc. [km/s]
# COLUMN rv_flag: 1 if any RV data is present in the fit, else 0
# COLUMN tran_flag: 1 if any photometry is fit, else 0
# COLUMN peak_prob: For bimodal A_mstar systems: probability mass under this row's stellar-mass mode (Major row > Minor); 1.0 for single-mode systems
# COLUMN BinaryMultiStarFlag: Y if SOCat (May16SoCat.csv) lists any binary/multi-star indicator for this host TIC, else N
#
pl_defaultname,hostname,tic_id,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,rm_snr_combined,st_name,host_star_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_vsin,st_vsinerr1,st_vsinerr2,rv_flag,tran_flag,peak_prob,BinaryMultiStarFlag
HAT-P-41 b,HAT-P-41,TIC 398895470,b,2.69405064,0.00000019,-0.00000018,2458071.24300,0.00015,-0.00016,BJD_TDB,0.0416,0.0015,-0.0016,0.159,0.052,-0.048,145,15,-19,88.75,0.82,-0.96,0.098,0.075,-0.065,1.7713,0.0094,-0.0094,1.010,0.094,-0.091,,,,1.188,0.013,-0.013,4.102,0.016,-0.015,5.03,0.18,-0.19,0.10255,0.00054,-0.00054,129,12,-12,1785,34,-30,-9.8,8.0,-8.1,,,,38.84,HAT-P-41,1,999,6200,120,-120,1.766,0.065,-0.060,1.301,0.048,-0.048,0.140,0.075,-0.078,[Fe/H],4.058,0.030,-0.035,3.81,0.75,-0.51,24.45,0.91,-0.83,1,1,0.4414,Y
HAT-P-49 b,HAT-P-49,TIC 99224131,b,2.69155631,0.00000030,-0.00000030,2458684.75537,0.00021,-0.00019,BJD_TDB,0.0451,0.0015,-0.0017,0.052,0.057,-0.037,110,210,-90,86.03,0.69,-0.61,0.342,0.045,-0.057,1.5594,0.0076,-0.0080,1.80,0.26,-0.24,,,,0.726,0.011,-0.011,4.207,0.015,-0.015,5.00,0.16,-0.19,0.08265,0.00040,-0.00042,190,26,-25,1960,38,-31,,,,,,,,HAT-P-49,1,999,6810,110,-120,1.923,0.069,-0.057,1.649,0.058,-0.059,0.225,0.083,-0.091,[Fe/H],4.087,0.030,-0.035,1.09,0.34,-0.27,,,,1,1,1.0,N
HAT-P-4 b,HAT-P-4,TIC 138294130,b,3.05652319,0.00000019,-0.00000020,2455584.57249,0.00023,-0.00024,BJD_TDB,0.0450,0.0017,-0.0010,0.036,0.035,-0.025,270,50,-180,89.41,0.42,-0.62,0.065,0.067,-0.046,1.3136,0.0068,-0.0066,0.621,0.045,-0.047,,,,0.791,0.010,-0.011,4.215,0.013,-0.013,6.13,0.23,-0.13,0.08542,0.00044,-0.00043,76.1,5.4,-5.7,1531,17,-28,-6,18,-16,,,,15.96,HAT-P-4,1,999,5990,110,-90,1.577,0.040,-0.049,1.308,0.061,-0.057,0.336,0.070,-0.072,[Fe/H],4.156,0.035,-0.022,3.4,1.1,-1.1,5.72,0.30,-0.29,1,1,1.0,Y
HAT-P-50 b,HAT-P-50,TIC 17746821,b,3.12200513,0.00000068,-0.00000070,2456285.91069,0.00080,-0.00081,BJD_TDB,0.0459,0.0017,-0.0015,0.059,0.045,-0.036,212,44,-40,83.78,0.51,-0.50,0.644,0.029,-0.035,1.338,0.030,-0.026,1.394,0.076,-0.074,,,,0.674,0.034,-0.025,3.721,0.025,-0.025,5.77,0.21,-0.18,0.0805,0.0018,-0.0015,163.1,7.4,-7.2,1639,27,-29,38,20,-17,,,,3.22,HAT-P-50,1,999,6180,110,-110,1.692,0.058,-0.058,1.285,0.056,-0.050,-0.057,0.069,-0.060,[Fe/H],4.090,0.034,-0.029,3.42,0.66,-0.70,8.96,0.49,-0.49,1,1,0.7306,N
HAT-P-50 b,HAT-P-50,TIC 17746821,b,3.12200510,0.00000070,-0.00000070,2456285.91070,0.00082,-0.00081,BJD_TDB,0.0443,0.0017,-0.0015,0.051,0.040,-0.033,192,49,-48,83.27,0.58,-0.54,0.660,0.025,-0.033,1.337,0.028,-0.026,1.434,0.078,-0.078,,,,0.669,0.029,-0.024,3.728,0.026,-0.025,5.58,0.22,-0.19,0.0805,0.0017,-0.0015,161.9,7.2,-7.2,1667,28,-32,38,19,-17,,,,3.22,HAT-P-50,1,999,6160,110,-110,1.691,0.056,-0.058,1.151,0.051,-0.044,-0.059,0.061,-0.059,[Fe/H],4.044,0.039,-0.031,5.7,1.0,-1.3,8.96,0.50,-0.50,1,1,0.2694,N
HAT-P-56 b,HAT-P-56,TIC 84339983,b,2.79082464,0.00000035,-0.00000034,2456774.09244,0.00061,-0.00082,BJD_TDB,0.0423,0.0018,-0.0020,,,,128,45,-63,81.97,0.70,-0.92,0.840,0.013,-0.014,1.475,0.026,-0.022,,,,,,,0.972,0.016,-0.014,2.286,0.025,-0.025,6.41,0.28,-0.31,0.1069,0.0019,-0.0016,243,45,-47,1673,42,-35,,,,,,,,HAT-P-56,1,999,6660,140,-150,1.427,0.058,-0.052,1.319,0.062,-0.064,-0.135,0.068,-0.076,[Fe/H],4.250,0.041,-0.048,1.5,1.1,-0.8,,,,1,1,1.0,N
HAT-P-67 b,HAT-P-67,TIC 198588220,b,4.81010578,0.00000064,-0.00000066,2455961.3871,0.0022,-0.0021,BJD_TDB,0.0659,0.0025,-0.0021,0.36,0.21,-0.26,334,6,-50,85.28,0.48,-0.58,0.453,0.021,-0.024,2.073,0.034,-0.023,0.10,0.16,-0.08,,,,0.790,0.039,-0.029,7.022,0.015,-0.016,5.58,0.21,-0.17,0.0838,0.0014,-0.0009,10,15,-8,1791,29,-32,6.2,3.7,-3.6,,,,16.37,HAT-P-67,1,999,6600,110,-110,2.530,0.083,-0.085,1.635,0.054,-0.051,-0.075,0.071,-0.067,[Fe/H],3.844,0.034,-0.028,1.71,0.23,-0.20,34.1,1.0,-1.0,1,1,0.8733,Y
HAT-P-67 b,HAT-P-67,TIC 198588220,b,4.81010580,0.00000064,-0.00000064,2455961.3886,0.0011,-0.0029,BJD_TDB,0.0638,0.0028,-0.0025,0.51,0.07,-0.34,338.8,6.9,-7.5,84.74,0.50,-0.50,0.455,0.020,-0.023,2.071,0.035,-0.022,0.09,0.14,-0.07,,,,0.787,0.042,-0.031,7.018,0.016,-0.017,5.40,0.24,-0.22,0.0837,0.0014,-0.0009,9,13,-7,1821,37,-39,7.1,3.9,-3.7,,,,16.37,HAT-P-67,1,999,6570,110,-100,2.554,0.086,-0.083,1.49,0.15,-0.06,-0.092,0.071,-0.067,[Fe/H],3.804,0.046,-0.039,2.38,0.31,-0.68,34.13,0.93,-0.97,1,1,0.1267,Y
HAT-P-69 b,HAT-P-69,TIC 379929661,b,4.78695219,0.00000069,-0.00000071,2458495.79456,0.00024,-0.00024,BJD_TDB,0.0677,0.0026,-0.0025,0.10,0.11,-0.07,189,33,-60,88.55,0.85,-0.65,0.20,0.09,-0.11,1.584,0.019,-0.013,2.41,0.36,-0.35,,,,0.868,0.036,-0.033,5.038,0.016,-0.015,7.82,0.30,-0.29,0.0875,0.0010,-0.0007,202,30,-30,1792,34,-34,,,,,,,,HAT-P-69,1,999,7760,170,-170,1.839,0.065,-0.063,1.743,0.058,-0.057,-0.044,0.069,-0.068,[Fe/H],4.150,0.035,-0.035,0.75,0.18,-0.17,,,,1,1,1.0,N
HAT-P-6 b,HAT-P-6,TIC 176899385,b,3.85299751,0.00000051,-0.00000052,2456100.88454,0.00051,-0.00051,BJD_TDB,0.0546,0.0016,-0.0017,0.048,0.029,-0.028,84,28,-25,84.37,0.35,-0.40,0.669,0.017,-0.021,1.508,0.034,-0.030,1.126,0.056,-0.049,,,,0.917,0.047,-0.037,3.453,0.017,-0.016,7.12,0.21,-0.22,0.0940,0.0021,-0.0019,117.5,4.9,-4.3,1592,26,-23,178.3,3.4,-3.4,,,,12.84,HAT-P-6,1,999,6710,120,-130,1.635,0.048,-0.045,1.427,0.062,-0.065,-0.046,0.064,-0.052,[Fe/H],4.165,0.029,-0.031,1.61,0.67,-0.48,8.18,0.64,-0.63,1,1,1.0,N
HAT-P-7 b,HAT-P-7,TIC 424865156,b,2.204736881,0.000000045,-0.000000042,2454954.35831,0.00009,-0.00010,BJD_TDB,0.03870,0.00057,-0.00055,0.014,0.016,-0.010,190,90,-110,83.64,0.32,-0.33,0.467,0.016,-0.017,1.4893,0.0044,-0.0043,1.827,0.034,-0.036,,,,0.6738,0.0021,-0.0021,3.9431,0.0070,-0.0069,4.215,0.062,-0.060,0.07751,0.00023,-0.00022,214.5,5.4,-5.1,2001,14,-15,168,11,-11,,,,6.43,HAT-P-7,1,999,6500,100,-100,1.967,0.034,-0.036,1.574,0.060,-0.065,0.257,0.071,-0.073,[Fe/H],4.047,0.015,-0.015,1.64,0.44,-0.36,3.49,0.36,-0.34,1,1,1.0,Y
HAT-P-8 b,HAT-P-8,TIC 188876052,b,3.07634398,0.00000015,-0.00000015,2456052.75585,0.00018,-0.00017,BJD_TDB,0.04348,0.00088,-0.00090,0.013,0.018,-0.009,160,130,-90,87.71,0.59,-0.49,0.254,0.050,-0.063,1.3234,0.0062,-0.0061,1.298,0.048,-0.046,,,,1.028,0.014,-0.015,3.945,0.011,-0.011,6.36,0.13,-0.13,0.09245,0.00043,-0.00042,157.3,5.6,-5.4,1591,17,-16,-17.4,6.9,-6.6,,,,16.83,HAT-P-8,1,999,6113,81,-79,1.505,0.035,-0.035,1.244,0.063,-0.070,0.094,0.076,-0.075,[Fe/H],4.177,0.021,-0.022,3.7,1.3,-1.0,11.82,0.41,-0.41,1,1,1.0,Y
HAT-P-9 b,HAT-P-9,TIC 371234684,b,3.92281089,0.00000076,-0.00000075,2455484.91407,0.00068,-0.00069,BJD_TDB,0.0509,0.0017,-0.0020,0.064,0.058,-0.044,175,50,-57,86.71,0.37,-0.37,0.504,0.040,-0.052,1.310,0.012,-0.015,0.766,0.089,-0.088,,,,1.297,0.016,-0.016,3.359,0.024,-0.023,8.80,0.30,-0.34,0.1082,0.0010,-0.0012,82.8,9.2,-8.9,1384,27,-23,-25.1,7.4,-8.0,,,,7.81,HAT-P-9,1,999,6240,100,-100,1.271,0.042,-0.038,1.220,0.058,-0.067,0.151,0.075,-0.073,[Fe/H],4.317,0.032,-0.040,2.1,1.9,-1.3,10.5,1.2,-1.2,1,1,1.0,N
HATS-14 b,HATS-14,TIC 29344935,b,2.76675824,0.00000031,-0.00000031,2456408.76449,0.00024,-0.00024,BJD_TDB,0.0391,0.0015,-0.0018,0.051,0.050,-0.036,121,81,-54,89.26,0.52,-0.75,0.11,0.11,-0.07,1.093,0.012,-0.011,1.09,0.13,-0.09,,,,1.530,0.092,-0.077,2.641,0.022,-0.020,8.56,0.32,-0.39,0.1143,0.0012,-0.0011,171,16,-12,1182,28,-22,-24,81,-45,,,,0.30,HATS-14,1,999,5337,82,-94,0.955,0.038,-0.030,0.954,0.053,-0.043,0.347,0.075,-0.078,[Fe/H],4.459,0.038,-0.045,7.2,4.3,-4.5,3.0,1.1,-0.9,1,1,1.0,N
HATS-38 b,HATS-38,TIC 168281028,b,4.3750451,0.0000014,-0.0000013,2457786.41046,0.00043,-0.00045,BJD_TDB,0.0523,0.0028,-0.0024,0.14,0.17,-0.09,155,32,-70,88.35,0.64,-0.77,0.27,0.13,-0.10,0.6092,0.0078,-0.0073,0.065,0.019,-0.017,,,,0.352,0.010,-0.010,3.100,0.030,-0.027,10.22,0.55,-0.46,0.05689,0.00073,-0.00068,9.0,2.5,-2.3,1139,27,-29,-101.6,6.9,-8.9,,,,7.20,HATS-38,1,999,5710,110,-110,1.084,0.043,-0.041,0.954,0.066,-0.047,-0.034,0.062,-0.060,[Fe/H],4.347,0.053,-0.045,8.5,3.4,-4.1,2.92,0.53,-0.51,1,1,1.0,N
HATS-3 b,HATS-3,TIC 336732616,b,3.54785256,0.00000030,-0.00000030,2456155.96687,0.00025,-0.00028,BJD_TDB,0.0479,0.0022,-0.0020,0.133,0.094,-0.086,201,31,-24,86.65,0.33,-0.37,0.470,0.029,-0.033,1.310,0.011,-0.012,1.06,0.18,-0.18,,,,1.180,0.015,-0.017,3.588,0.017,-0.017,7.83,0.36,-0.33,0.10225,0.00088,-0.00091,122,21,-21,1462,32,-33,13,8,-11,,,,6.83,HATS-3,1,999,6300,120,-120,1.332,0.048,-0.048,1.212,0.067,-0.073,0.008,0.066,-0.056,[Fe/H],4.271,0.045,-0.043,2.7,1.8,-1.5,9.04,0.95,-0.95,1,1,1.0,N
HATS-70 b,HATS-70,TIC 98545929,b,1.88824112,0.00000056,-0.00000054,2456911.87316,0.00072,-0.00076,BJD_TDB,0.0365,0.0016,-0.0016,0.069,0.083,-0.049,190,150,-160,88.7,0.9,-1.3,0.090,0.092,-0.063,1.251,0.016,-0.016,11.3,1.8,-1.8,,,,0.492,0.024,-0.022,3.755,0.033,-0.030,4.12,0.18,-0.18,0.06745,0.00087,-0.00086,1510,230,-220,2696,60,-57,,,,,,,,HATS-70,1,999,8110,510,-370,1.931,0.076,-0.071,1.88,0.12,-0.10,0.037,0.097,-0.094,[Fe/H],4.143,0.043,-0.042,0.59,0.21,-0.19,,,,1,1,1.0,N
HD 110067 c,HD 110067,TIC 347332255,c,13.673581,0.000033,-0.000025,2459643.7791,0.0016,-0.0013,BJD_TDB,0.1055,0.0023,-0.0029,,,,,,,89.69,0.22,-0.29,0.16,0.14,-0.11,0.238,0.044,-0.018,,,,,,,0.114,0.046,-0.017,3.699,0.062,-0.058,28.66,0.61,-0.78,0.0310,0.0057,-0.0023,1.8,2.2,-1.3,634.5,8.8,-6.7,28,28,-32,,,,9.18,HD 110067,1,999,5307,70,-71,0.785,0.020,-0.017,0.812,0.036,-0.033,-0.149,0.054,-0.063,[Fe/H],4.560,0.021,-0.027,6.0,4.6,-3.8,1.83,0.59,-0.49,1,1,1.0,Y
HD 118203 b,HD 118203,TIC 286923464,b,6.1349889,0.0000011,-0.0000011,2458712.66166,0.00015,-0.00016,BJD_TDB,0.07043,0.00048,-0.00060,0.3011,0.0037,-0.0037,156.0,1.1,-1.1,89.23,0.54,-0.73,0.081,0.076,-0.057,1.1038,0.0029,-0.0026,2.273,0.023,-0.019,,,,0.3617,0.0015,-0.0013,5.642,0.010,-0.010,7.444,0.051,-0.064,0.05575,0.00014,-0.00013,222.0,1.8,-1.7,1385.0,6.0,-4.7,2,12,-13,,,,23.11,HD 118203,1,999,5751,48,-46,2.050,0.022,-0.026,1.262,0.037,-0.041,0.265,0.077,-0.075,[Fe/H],3.9166,0.0081,-0.0099,5.23,0.66,-0.54,4.90,0.23,-0.21,1,1,1.0,N
HD 149026 b,HD 149026,TIC 255930614,b,2.87588870,0.00000021,-0.00000020,2457217.64136,0.00018,-0.00018,BJD_TDB,0.0445,0.0013,-0.0014,0.024,0.027,-0.017,90,130,-40,86.35,0.58,-0.51,0.407,0.046,-0.058,0.7448,0.0085,-0.0066,0.299,0.014,-0.014,,,,0.307,0.012,-0.013,3.2258,0.0089,-0.0090,6.52,0.19,-0.20,0.05212,0.00059,-0.00046,37.8,1.4,-1.4,1518,24,-22,5,13,-15,,,,4.85,HD 149026,1,999,6074,83,-86,1.423,0.040,-0.037,1.295,0.059,-0.057,0.370,0.070,-0.073,[Fe/H],4.244,0.028,-0.031,2.5,1.3,-1.1,5.97,0.43,-0.43,1,1,1.0,N
HD 17156 b,HD 17156,TIC 302773669,b,21.2164410,0.0000019,-0.0000019,2454884.02875,0.00043,-0.00043,BJD_TDB,0.1615,0.0031,-0.0029,0.6770,0.0016,-0.0016,121.00,0.24,-0.26,86.81,0.33,-0.29,0.450,0.032,-0.039,1.078,0.014,-0.010,3.159,0.059,-0.060,,,,0.674,0.034,-0.033,3.1332,0.0096,-0.0095,23.57,0.45,-0.42,0.07523,0.00099,-0.00069,273.33,0.86,-0.81,798.2,7.2,-7.5,2.0,3.7,-3.7,,,,21.36,HD 17156,1,999,6002,68,-66,1.478,0.030,-0.030,1.263,0.057,-0.056,0.244,0.076,-0.076,[Fe/H],4.199,0.019,-0.018,3.5,1.1,-1.0,4.10,0.22,-0.21,1,1,1.0,N
HD 189733 b,HD 189733,TIC 256364928,b,2.218574923,0.000000030,-0.000000030,2453955.525540,0.000076,-0.000080,BJD_TDB,0.03092,0.00010,-0.00010,0.0092,0.0010,-0.0012,199.5,9.1,-8.5,85.754,0.040,-0.042,0.6621,0.0041,-0.0042,1.1348,0.0033,-0.0031,1.1318,0.0052,-0.0052,,,,2.624,0.044,-0.034,1.8160,0.0029,-0.0029,8.915,0.030,-0.027,0.15638,0.00045,-0.00043,200.27,0.43,-0.40,1105.1,1.7,-1.9,-0.34,0.30,-0.27,,,,118.63,HD 189733,1,999,5032,42,-40,0.7704,0.0069,-0.0084,0.883,0.023,-0.026,-0.009,0.097,-0.076,[Fe/H],4.6106,0.0046,-0.0047,0.7,1.2,-0.5,2.733,0.051,-0.058,1,1,1.0,Y
HD 191939 b,HD 191939,TIC 269701147,b,8.8803217,0.0000019,-0.0000019,2459443.54200,0.00016,-0.00015,BJD_TDB,0.0829,0.0033,-0.0026,0.063,0.050,-0.045,263,26,-41,88.18,0.16,-0.14,0.637,0.045,-0.050,0.3084,0.0037,-0.0031,0.0280,0.0023,-0.0022,,,,0.1214,0.0011,-0.0010,3.092,0.019,-0.016,18.90,0.74,-0.60,0.03360,0.00040,-0.00033,3.24,0.23,-0.23,832,14,-16,6,15,-14,,,,10.74,HD 191939,1,999,5497,96,-89,0.914,0.027,-0.028,0.878,0.048,-0.036,-0.110,0.065,-0.076,[Fe/H],4.460,0.037,-0.032,8.2,3.4,-4.0,1.32,0.44,-0.45,1,1,1.0,N
HD 209458 b,HD 209458,TIC 420814525,b,3.524749025,0.000000015,-0.000000015,2451659.937502,0.000029,-0.000029,BJD_TDB,0.04799,0.00042,-0.00033,0.0089,0.0047,-0.0047,300,40,-290,86.88,0.11,-0.08,0.487,0.009,-0.013,1.416,0.022,-0.011,0.6913,0.0062,-0.0070,,,,1.796,0.060,-0.029,3.0700,0.0030,-0.0030,8.953,0.078,-0.061,0.1262,0.0019,-0.0009,83.98,0.71,-0.70,1303.1,4.5,-5.6,0.49,0.30,-0.30,,,,173.83,HD 209458,1,999,6107,66,-62,1.138,0.017,-0.018,1.145,0.046,-0.050,0.055,0.074,-0.071,[Fe/H],4.3842,0.0098,-0.0095,1.7,1.4,-1.0,3.68,0.10,-0.13,1,1,1.0,N
HD 3167 b,HD 3167,TIC 318707987,b,0.95965502,0.00000022,-0.00000021,2457394.37408,0.00025,-0.00028,BJD_TDB,0.01799,0.00045,-0.00057,0.028,0.047,-0.021,260,30,-140,87.0,2.0,-2.2,0.24,0.19,-0.17,0.1385,0.0025,-0.0015,0.01565,0.00083,-0.00080,,,,0.03391,0.00052,-0.00054,1.623,0.011,-0.010,4.57,0.11,-0.15,0.01681,0.00030,-0.00018,3.48,0.16,-0.15,1609,26,-20,,,,,,,,HD 3167,1,999,5302,69,-74,0.857,0.024,-0.021,0.871,0.043,-0.038,0.034,0.075,-0.067,[Fe/H],4.514,0.025,-0.032,6.8,4.4,-4.1,2.33,0.62,-0.60,1,1,1.0,N
HD 3167 c,HD 3167,TIC 318707987,c,29.846266,0.000090,-0.000090,2457394.97891,0.00061,-0.00063,BJD_TDB,0.1779,0.0044,-0.0057,0.032,0.045,-0.023,250,50,-180,89.49,0.11,-0.11,0.408,0.095,-0.088,0.2520,0.0033,-0.0027,0.0363,0.0030,-0.0029,,,,0.1096,0.0017,-0.0015,4.868,0.040,-0.034,45.2,1.1,-1.4,0.03059,0.00040,-0.00032,2.57,0.20,-0.20,511.8,8.4,-6.2,-82,12,-9,,,,6.03,HD 3167,1,999,5302,69,-74,0.857,0.024,-0.021,0.871,0.043,-0.038,0.034,0.075,-0.067,[Fe/H],4.514,0.025,-0.032,6.8,4.4,-4.1,2.33,0.62,-0.60,1,1,1.0,N
HD 63433 b,HD 63433,TIC 130181866,b,7.1079137,0.0000061,-0.0000049,2458845.37407,0.00047,-0.00053,BJD_TDB,0.0721,0.0016,-0.0029,,,,,,,89.26,0.48,-0.53,0.22,0.14,-0.14,0.1853,0.0024,-0.0026,,,,,,,0.0489,0.0013,-0.0013,3.218,0.026,-0.024,16.81,0.36,-0.69,0.02066,0.00026,-0.00029,2300,1800,-1600,880,18,-9,11,20,-26,,,,642.20,HD 63433,1,999,5617,75,-86,0.909,0.028,-0.020,0.937,0.044,-0.049,0.018,0.071,-0.069,[Fe/H],4.497,0.022,-0.042,4.3,4.3,-2.7,7.39,0.48,-0.48,1,1,1.0,N
HD 80606 b,HD 80606,TIC 457134360,b,111.437014,0.000066,-0.000065,2458888.0729,0.0020,-0.0020,BJD_TDB,0.460,0.012,-0.012,0.93182,0.00033,-0.00033,301.142,0.098,-0.098,89.279,0.032,-0.031,0.798,0.013,-0.015,1.060,0.046,-0.035,4.23,0.11,-0.11,,,,1.15,0.11,-0.08,12.04,0.11,-0.11,97.5,2.6,-2.5,0.1074,0.0047,-0.0035,471.8,1.2,-1.2,377.1,4.9,-4.9,46.5,8.3,-6.8,,,,24.05,HD 80606,1,999,5602,76,-72,1.019,0.025,-0.026,1.060,0.046,-0.055,0.339,0.077,-0.078,[Fe/H],4.447,0.025,-0.026,2.9,3.1,-2.0,1.24,0.18,-0.18,1,1,1.0,Y
