System,teff,teffuerr,tefflerr,pflag,lambdadeg,lambdauerr,lambdalerr,psi,psiuerr,psilerr,Author_string,Ephemeris_Url,normalized_lambdadeg,normalized_lambdauerr,normalized_lambdalerr,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag,SOCatflag,Method,pl_orbper,pl_orbperuerr,pl_orbperlerr,pl_orbeccen,pl_orbeccenuerr,pl_orbeccenlerr,pl_orbsmax,pl_orbsmaxuerr,pl_orbsmaxlerr,pl_orbincl,pl_orbincluerr,pl_orbincllerr,pl_bmassj,pl_bmassjuerr,pl_bmassjlerr,pl_radj,pl_radjuerr,pl_radjlerr,pl_ratror,pl_ratroruerr,pl_ratrorlerr,pl_ratdor,pl_ratdoruerr,pl_ratdorlerr,pl_imppar,pl_impparuerr,pl_impparlerr,pl_trandur,pl_tranduruerr,pl_trandurlerr,st_teff,st_teffuerr,st_tefflerr,st_mass,st_massuerr,st_masslerr,st_rad,st_raduerr,st_radlerr,st_met,st_metuerr,st_metlerr,st_logg,st_logguerr,st_logglerr,st_age,st_ageuerr,st_agelerr
EPIC_219388192,5553,82,86,y,1.4,2.1,2.5,15.0,15.0,11.0,Carmichael_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2506.18971,1.4,2.1,2.5,0,,y,RM,5.292569,2.6e-05,2.6e-05,0.1893,,,0.0593,,,89.63,,,36.0,1.6,1.6,0.846,0.021,0.021,,,,,,,,,,,,,5850.0,,,0.99,,,1.01,,,0.03,,,,,,,,
GJ_0436,3416,54,54,n,72.0,33.0,24.0,80.0,21.0,18.0,Bourrier_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B,72.0,33.0,24.0,0,,n,RRM,2.64388312,5.7e-07,5.7e-07,0.13827,0.00018,0.00018,0.0291,0.0015,0.0015,86.44,0.17,0.16,0.07,0.007,0.007,0.372,0.015,0.015,0.0822,0.001,0.0011,13.73,0.46,0.43,0.736,0.042,0.041,1.00536,0.00336,0.00336,3586.11,36.37,36.37,0.47,0.07,0.07,0.455,0.018,0.018,0.0991,0.0785,0.0785,4.792,0.047,0.044,6.0,4.0,5.0
GJ_0436,3416,54,54,y,114.0,23.0,17.0,103.0,13.0,12.0,Bourrier_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022A%26A...663A.160B,114.0,23.0,17.0,0,,y,RM,2.64388312,5.7e-07,5.7e-07,0.13827,0.00018,0.00018,0.0291,0.0015,0.0015,86.44,0.17,0.16,0.07,0.007,0.007,0.372,0.015,0.015,0.0822,0.001,0.0011,13.73,0.46,0.43,0.736,0.042,0.041,1.00536,0.00336,0.00336,3586.11,36.37,36.37,0.47,0.07,0.07,0.455,0.018,0.018,0.0991,0.0785,0.0785,4.792,0.047,0.044,6.0,4.0,5.0
GJ_3470,3725,54,54,y,101.0,29.0,14.0,97.0,16.0,11.0,Stef&aacute;nsson_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022ApJ...931L..15S,101.0,29.0,14.0,0,,y,RM,3.3366496,3.9e-06,3.3e-06,0.017,0.016,0.012,0.0355,0.0019,0.0019,89.13,0.26,0.34,0.04373407,0.0047195,0.0047195,0.40770809,0.01605852,0.01605852,0.07642,0.00037,0.00037,13.98,0.2,0.28,0.4,0.06,0.08,1.8984,0.012,0.012,3600.0,100.0,100.0,0.539,0.047,0.043,0.547,0.018,0.018,0.2,0.1,0.1,4.695,0.046,0.046,1.65,1.35,1.35
GPX-1,7000,200,200,y,6.9,10.0,10.0,-999.0,-999.0,-999.0,Giacalone_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..189G,6.9,10.0,10.0,0,,y,DT,1.744579,8e-06,8e-06,0.0,,,0.0338,0.0003,0.0003,79.9,0.7,0.6,19.7,1.6,1.6,1.47,0.1,0.1,0.095,0.002,0.002,4.67,0.55,0.32,0.82,0.02,0.03,2.09,0.05,0.05,7000.0,200.0,200.0,1.68,0.1,0.1,1.56,0.1,0.1,0.35,0.1,0.1,4.27,0.05,0.05,0.27,0.09,0.15
HAT-P-01,5975,50,50,y,3.7,2.1,2.1,-999.0,-999.0,-999.0,Johnson_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008ApJ...686..649J,3.7,2.1,2.1,0,SFNG,y,RM,4.46529976,5.5e-07,5.5e-07,0.0,,,0.05561,0.00082,0.00083,85.634,0.056,0.056,0.525,0.019,0.019,1.319,0.019,0.019,0.11802,0.00018,0.00018,9.853,0.071,0.071,0.7501,0.0064,0.0069,2.85,0.01176,0.01272,5980.0,49.0,49.0,1.151,0.052,0.051,1.174,0.026,0.027,0.13,0.008,0.008,4.359,0.014,0.014,3.6,0.0,0.0
HAT-P-02,6290,60,60,n,1.2,13.4,13.4,-999.0,-999.0,-999.0,Winn_et_al._(2007),https://ui.adsabs.harvard.edu/abs/2007ApJ...665L.167W,1.2,13.4,13.4,0,,n,RM,5.6335158,3.6e-06,3.6e-06,0.5172,0.0019,0.0019,0.06814,0.00051,0.00051,86.16,0.26,0.26,9.02,0.1,0.1,0.951,0.039,0.053,0.0678,0.0002,0.0002,10.28,0.12,0.19,0.457,0.035,0.04,4.2888,0.0312,0.0312,6380.0,,,1.33,0.03,0.03,1.39,0.09,0.09,0.18,,,4.16,0.02,0.02,1.44,0.47,0.47
HAT-P-02,6290,60,60,y,0.2,12.2,12.5,-999.0,-999.0,-999.0,Loeillet_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008A%26A...481..529L,0.2,12.2,12.5,0,,n,RM,5.6335158,3.6e-06,3.6e-06,0.5172,0.0019,0.0019,0.06814,0.00051,0.00051,86.16,0.26,0.26,9.02,0.1,0.1,0.951,0.039,0.053,0.0678,0.0002,0.0002,10.28,0.12,0.19,0.457,0.035,0.04,4.2888,0.0312,0.0312,6380.0,,,1.33,0.03,0.03,1.39,0.09,0.09,0.18,,,4.16,0.02,0.02,1.44,0.47,0.47
HAT-P-02,6290,60,60,n,9.0,10.0,10.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,9.0,10.0,10.0,0,,y,RM,5.6335158,3.6e-06,3.6e-06,0.5172,0.0019,0.0019,0.06814,0.00051,0.00051,86.16,0.26,0.26,9.02,0.1,0.1,0.951,0.039,0.053,0.0678,0.0002,0.0002,10.28,0.12,0.19,0.457,0.035,0.04,4.2888,0.0312,0.0312,6380.0,,,1.33,0.03,0.03,1.39,0.09,0.09,0.18,,,4.16,0.02,0.02,1.44,0.47,0.47
HAT-P-03,5190,80,80,y,21.2,8.7,8.7,-999.0,-999.0,-999.0,Mancini_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018A%26A...613A..41M,21.2,8.7,8.7,0,FNG,n,RM,2.8997,5.4e-05,5.4e-05,0.0,,,0.03866,0.00041,0.00041,87.24,0.69,0.69,0.65,0.11,0.11,0.94,0.07,0.07,0.11091,0.00048,0.00048,10.05,0.5,0.5,0.615,0.012,0.012,2.0808,0.0082,0.0082,5185.0,80.0,80.0,1.06,0.28,0.28,0.87,0.06,0.06,0.27,,,4.56,0.03,0.03,1.6,2.1,2.1
