System,teff,teffuerr,tefflerr,pflag,lambdadeg,lambdauerr,lambdalerr,psi,psiuerr,psilerr,Author_string,Ephemeris_Url,normalized_lambdadeg,normalized_lambdauerr,normalized_lambdalerr,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag,SOCatflag,Method,pl_orbper,pl_orbperuerr,pl_orbperlerr,pl_orbeccen,pl_orbeccenuerr,pl_orbeccenlerr,pl_orbsmax,pl_orbsmaxuerr,pl_orbsmaxlerr,pl_orbincl,pl_orbincluerr,pl_orbincllerr,pl_bmassj,pl_bmassjuerr,pl_bmassjlerr,pl_radj,pl_radjuerr,pl_radjlerr,pl_ratror,pl_ratroruerr,pl_ratrorlerr,pl_ratdor,pl_ratdoruerr,pl_ratdorlerr,pl_imppar,pl_impparuerr,pl_impparlerr,pl_trandur,pl_tranduruerr,pl_trandurlerr,st_teff,st_teffuerr,st_tefflerr,st_mass,st_massuerr,st_masslerr,st_rad,st_raduerr,st_radlerr,st_met,st_metuerr,st_metlerr,st_logg,st_logguerr,st_logglerr,st_age,st_ageuerr,st_agelerr
TOI-1670c,6170,61,61,y,-0.3,2.2,2.2,-999.0,-999.0,-999.0,Lubin_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023ApJ...959L...1H,0.3,2.2,2.2,0,,y,RM,40.74976,2.2e-05,0.00021,0.09,0.05,0.04,0.249,0.005,0.005,88.84,0.04,0.04,0.63,0.09,0.08,0.987,0.025,0.025,0.077,0.002,0.002,40.68,0.66,0.66,0.76,0.02,0.04,5.4,0.06,0.05,6170.0,61.0,61.0,1.21,0.02,0.02,1.316,0.019,0.019,0.09,0.07,0.07,4.29,0.11,0.11,2.53,0.43,0.43
TOI-1694,5135,50,50,y,9.0,22.0,18.0,-999.0,-999.0,-999.0,Handley_et_al._(2025),https://ui.adsabs.harvard.edu/abs/2025AJ....169..212H,9.0,22.0,18.0,0,,y,RM,3.770107,8.5e-05,8.5e-05,0.0,,,0.045,0.0008,0.0008,88.17,1.15,1.19,0.09848081,0.00849515,0.00786588,0.47660235,0.0132264,0.01061459,0.0609478,0.00138138,0.00100519,10.206,0.468,0.792,0.266055,0.198001,0.183875,2.8696267,0.0350084,0.0317231,5058.0,60.0,56.0,0.853,0.0227,0.0249,0.8036,0.0129,0.012,0.131,0.054,0.055,4.558,0.019,0.023,4.3,3.5,2.6
TOI-1842,6230,50,50,y,-68.0,21.0,15.0,73.0,16.0,13.0,Hixenbaugh_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..35H,68.0,15.0,21.0,0,,y,RM,9.5739181,9.9e-06,9.9e-06,0.276,0.064,0.064,0.1,0.002,0.002,88.4,0.9,1.5,0.28128386,0.02454154,0.02454154,1.10166148,0.02490666,0.026259,0.05571407,0.00074632,0.00074307,16.2,1.6,2.9,0.781926,0.029212,0.040619,4.3070829,0.0843245,0.0732553,6039.0,93.0,89.0,1.4643,0.0292,0.0362,2.032,0.037,0.0401,0.332,0.06,0.06,3.986,0.018,0.021,2.5,0.4,0.3
TOI-1859,6341,68,70,y,38.9,2.8,2.7,-999.0,-999.0,-999.0,Dong_et_al._(2023),https://ui.adsabs.harvard.edu/abs/arXiv:2305.16495,38.9,2.8,2.7,0,G,y,RM,63.48347,0.0001,0.0001,0.57,0.12,0.16,0.337,0.044,0.036,88.64,0.38,0.28,0.216,,,0.87,0.07,0.07,0.066,0.0004,0.0005,53.7,4.7,4.0,0.61,0.03,0.03,5.457,0.638,0.638,6341.0,68.0,70.0,1.287,0.061,0.061,1.36,0.1,0.12,0.12,0.054,0.056,4.285,0.069,0.067,1.41,1.22,1.11
TOI-1937,5814,91,93,y,4.0,3.5,3.5,-999.0,-999.0,-999.0,Yee_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y,4.0,3.5,3.5,0,NG,y,RM,0.94667944,4.7e-07,4.7e-07,0.0,,,0.01932,0.00035,0.00039,77.0,0.44,0.49,2.01,0.17,0.16,1.247,0.059,0.062,,,,3.85,0.09,0.1,0.8653,0.0086,0.0084,1.377,0.014,0.014,5814.0,91.0,93.0,1.072,0.059,0.064,1.08,0.025,0.024,0.196,0.084,0.084,4.401,0.026,0.029,3.6,3.1,2.3
TOI-2005,7130,150,150,y,4.8,2.3,2.5,-999.0,-999.0,-999.0,Bieryla_et_al._(2025),https://ui.adsabs.harvard.edu/abs/2025AJ....169..273B,4.8,2.3,2.5,0,,y,DT,17.305904,2.3e-05,2e-05,0.597,0.097,0.065,0.16,0.02,0.02,87.1,1.1,0.9,6.4,,,1.07,0.06,0.11,0.05107,0.00037,0.00045,15.9,1.97,1.75,0.52,0.33,0.35,2.249,0.063,0.063,7130.0,150.0,150.0,1.59,0.016,0.017,2.02,0.14,0.16,0.0,,,3.946,0.035,0.035,1.6,0.1,0.1
TOI-2025,5880,53,53,n,9.0,36.0,34.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..22K,9.0,36.0,34.0,0,,n,RM,8.8720982,7.7e-06,7.7e-06,0.394,0.035,0.038,0.0892,0.0018,0.0023,88.65,0.9,0.92,3.6,0.33,0.33,1.061,0.033,0.031,0.07469,0.00052,0.00044,13.12,0.48,0.48,0.19,0.14,0.13,3.601,0.024,0.02,5977.0,79.0,78.0,1.199,0.074,0.092,1.459,0.043,0.042,0.15,0.11,0.1,4.187,0.037,0.04,4.5,2.3,1.5
TOI-2025,5880,53,53,y,-10.0,7.0,10.0,-999.0,-999.0,-999.0,Wang_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..21W,10.0,10.0,7.0,0,,y,RM,8.8720982,7.7e-06,7.7e-06,0.394,0.035,0.038,0.0892,0.0018,0.0023,88.65,0.9,0.92,3.6,0.33,0.33,1.061,0.033,0.031,0.07469,0.00052,0.00044,13.12,0.48,0.48,0.19,0.14,0.13,3.601,0.024,0.02,5977.0,79.0,78.0,1.199,0.074,0.092,1.459,0.043,0.042,0.15,0.11,0.1,4.187,0.037,0.04,4.5,2.3,1.5
TOI-2031,6420,120,110,y,-6.1,7.5,7.5,-999.0,-999.0,-999.0,Wang_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..21W,6.1,7.5,7.5,0,G,y,RM,5.71548654,7.5e-07,7.6e-07,0.0,,,0.066,,,88.32,,,0.8,0.23,0.23,1.267,0.024,0.024,,,,,,,,,,,,,6490.0,,,1.174,,,1.241,,,-0.24,,,,,,,,
TOI-2046,6250,140,140,y,-1.0,6.0,6.0,42.0,10.0,8.0,Zak_et_al._(2025),https://ui.adsabs.harvard.edu/abs/2025A%26A...694A..91Z,1.0,6.0,6.0,0,,y,RM,1.4971842,3.1e-06,3.3e-06,,,,,,,83.6,0.9,0.9,2.3,0.28,0.28,1.44,0.11,0.11,0.1213,0.0017,0.0021,4.75,0.18,0.17,0.51,0.06,0.07,2.41,0.032,0.03,6250.0,140.0,140.0,1.13,0.19,0.19,1.21,0.07,0.07,-0.06,0.15,0.15,4.3,0.15,0.15,0.45,0.43,0.021
TOI-2076b,5200,100,100,y,-3.0,15.0,16.0,18.0,10.0,9.0,Frazier_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023ApJ...944L..41F,3.0,16.0,15.0,0,,y,RM,10.355235,2e-05,2e-05,0.0,,,0.0682,0.0013,0.0013,89.65,0.17,0.17,0.05065626,0.02611472,0.02580009,0.21322189,0.00892142,0.00892142,0.02881,0.00095,0.00095,25.07,0.28,0.28,0.123,0.077,0.073,3.245,0.038,0.043,5201.0,66.0,61.0,0.883,0.017,0.017,0.774,0.015,0.015,0.017,0.077,0.056,4.608,0.018,0.018,0.338,0.077,0.081
TOI-2109,6530,160,150,y,1.7,1.7,1.7,-999.0,-999.0,-999.0,Wong_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W,1.7,1.7,1.7,0,,y,DT,0.67247414,2.8e-08,2.8e-07,,,,0.01791,0.00065,0.00065,70.74,0.37,0.37,5.02,0.75,0.75,1.347,0.047,0.047,0.08155,0.00022,0.00022,2.268,0.021,0.021,0.7481,0.0073,0.0073,1.801,0.125,0.125,6540.0,160.0,160.0,1.453,0.074,0.074,1.698,0.062,0.057,0.068,0.07,0.062,4.139,0.041,0.046,1.77,0.88,0.68
TOI-2119,3553,67,67,y,-0.8,1.1,1.1,15.7,5.4,5.6,Doyle_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2025MNRAS.536.3745D,0.8,1.1,1.1,0,,y,RM,7.200861,-5e-06,5e-06,0.3355,-0.0002,0.0002,,,,,,,64.4,-2.2,2.3,1.08,-0.03,0.03,,,,,,,,,,,,,3553.0,-67.0,67.0,0.53,-0.02,0.02,,,,,,,,,,,,
TOI-2145,6206,81,75,y,6.8,2.9,2.8,-999.0,-999.0,-999.0,Dong_et_al._(2025),https://ui.adsabs.harvard.edu/abs/2025AJ....169....4D,6.8,2.9,2.8,0,,y,RM,10.261127,1.1e-05,1.1e-05,0.21,0.018,0.018,0.111,0.002,0.002,88.1,1.3,1.2,5.55960374,0.22339098,0.22653733,1.10795061,0.02764447,0.02261977,0.04139508,0.00048322,0.00043499,8.65,0.22,0.23,0.374842,0.132286,0.21164,7.4683854,0.0490546,0.036496,6200.0,84.0,81.0,1.7169,0.034,0.0398,2.7505,0.0607,0.0481,0.285,0.061,0.051,3.789,0.019,0.018,1.6,0.2,0.1
TOI-2202,5144,50,50,y,26.0,12.0,15.0,31.0,13.0,11.0,Rice_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023AJ....166..266R,26.0,12.0,15.0,0,,y,RM,11.9126075,0.00011,0.00011,0.022,0.022,0.015,0.09564,0.00156,0.00161,89.29,0.17,0.12,0.904,0.087,0.1,0.977,0.016,0.016,0.1265,0.0017,0.0018,25.98,0.34,0.34,0.323,0.055,0.08,3.768,0.032,0.03,5169.0,80.0,78.0,0.841,0.034,0.032,0.808,0.024,0.022,0.059,0.043,0.043,4.548,0.03,0.031,6.4,4.4,3.9
TOI-2364,5306,76,68,y,7.0,10.0,11.0,15.6,7.7,7.3,Tamburo_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2505.03628,7.0,10.0,11.0,0,,y,RM,4.0197517,4.3e-06,4.3e-06,0.0,,,0.04871,0.00069,0.00079,88.98,0.62,0.54,0.225,0.043,0.049,0.768,0.023,0.018,,,,11.84,0.22,0.33,0.21,0.1,0.13,2.7751,0.0233,0.0223,5306.0,76.0,68.0,0.954,0.041,0.046,0.886,0.021,0.017,0.344,0.085,0.085,4.524,0.018,0.029,3.5,4.2,2.4
TOI-2485,5939,85,85,y,-20.0,26.0,21.0,-999.0,-999.0,-999.0,Wang_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..21W,20.0,21.0,26.0,0,,y,RM,11.23479,5.4e-05,5.2e-05,0.0341,0.0109,0.0087,0.1093,0.0055,0.0057,89.49,0.36,0.6,2.412,0.088,0.087,1.083,0.045,0.045,0.0647,0.00067,0.00068,13.69,0.36,0.44,0.121,0.134,0.087,6.567,0.088,0.088,6016.4,119.0,119.0,1.163,0.053,0.053,1.72,0.069,0.069,0.097,0.059,0.059,4.01,0.08,0.08,6.0,0.8,1.7
TOI-2524,5831,80,80,y,10.0,19.0,22.0,-999.0,-999.0,-999.0,Wang_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..21W,10.0,19.0,22.0,0,,y,RM,7.18585,1e-05,1e-05,0.0,,,0.073,0.0007,0.0007,89.4,0.4,0.4,0.64,0.04,0.04,1.0,0.02,0.03,0.092,0.001,0.001,14.3,0.2,0.3,,,,4.2542613,0.075425,0.075425,5831.0,80.0,80.0,1.007,0.032,0.029,1.119,0.024,0.023,0.06,0.05,0.05,4.344,0.026,0.025,6.7,1.7,1.6
TOI-2533,6180,60,60,y,-7.0,14.0,14.0,-999.0,-999.0,-999.0,Ferreira_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2024AJ....168..145F,7.0,14.0,14.0,0,,y,RM,6.685784,,,,,,,,,,,,74.9,,,0.841,,,,,,,,,,,,,,,6180.0,,,,,,,,,,,,,,,,,
TOI-3362,6800,100,100,y,1.2,2.8,2.7,-999.0,-999.0,-999.0,Espinoza-Retamal_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023ApJ...958L..20E,1.2,2.8,2.7,0,,y,RM,18.09547,3e-05,3e-05,0.815,0.023,0.032,0.153,0.002,0.003,89.14,0.584,0.668,5.029,0.668,0.646,1.142,0.043,0.041,,,,,,,0.27,0.207,0.184,2.627,0.709,0.709,6532.0,88.0,86.0,1.445,0.069,0.073,1.83,0.055,0.053,0.017,0.057,0.049,4.072,0.032,0.034,2.14,0.66,0.52
TOI-3362,6800,100,100,n,2.0,4.0,5.0,-999.0,-999.0,-999.0,Prinoth_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..133P,2.0,4.0,5.0,0,,n,DT,18.09547,3e-05,3e-05,0.815,0.023,0.032,0.153,0.002,0.003,89.14,0.584,0.668,5.029,0.668,0.646,1.142,0.043,0.041,,,,,,,0.27,0.207,0.184,2.627,0.709,0.709,6532.0,88.0,86.0,1.445,0.069,0.073,1.83,0.055,0.053,0.017,0.057,0.049,4.072,0.032,0.034,2.14,0.66,0.52
TOI-3884,3180,88,88,n,75.0,10.0,10.0,-999.0,-999.0,-999.0,Libby-Roberts_et_al.(2023),https://ui.adsabs.harvard.edu/abs/2023AJ....165..249L,75.0,10.0,10.0,0,,y,RM,4.5445828,9.8e-06,9.8e-06,0.06,0.06,0.04,0.0361,0.0008,0.0008,89.81,0.13,0.18,0.10253961,0.02299983,0.02322008,0.57364716,0.01784284,0.01784284,0.197,0.002,0.002,25.9,0.96,0.71,0.089,0.082,0.061,1.6,0.05,0.06,3180.0,88.0,88.0,0.298,0.018,0.018,0.302,0.012,0.012,0.04,0.12,0.12,4.97,0.05,0.05,,,
TOI-3884,3180,88,88,y,139.0,9.0,3.7,118.1,5.6,2.3,Mori_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2506.06445,139.0,9.0,3.7,0,,n,SC,4.5445828,9.8e-06,9.8e-06,0.06,0.06,0.04,0.0361,0.0008,0.0008,89.81,0.13,0.18,0.10253961,0.02299983,0.02322008,0.57364716,0.01784284,0.01784284,0.197,0.002,0.002,25.9,0.96,0.71,0.089,0.082,0.061,1.6,0.05,0.06,3180.0,88.0,88.0,0.298,0.018,0.018,0.302,0.012,0.012,0.04,0.12,0.12,4.97,0.05,0.05,,,
TOI-3884,3180,88,88,n,305.7,5.1,5.1,76.2,2.2,2.6,Tamburo_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2506.11998,54.3,5.1,5.1,0,,n,SC,4.5445828,9.8e-06,9.8e-06,0.06,0.06,0.04,0.0361,0.0008,0.0008,89.81,0.13,0.18,0.10253961,0.02299983,0.02322008,0.57364716,0.01784284,0.01784284,0.197,0.002,0.002,25.9,0.96,0.71,0.089,0.082,0.061,1.6,0.05,0.06,3180.0,88.0,88.0,0.298,0.018,0.018,0.302,0.012,0.012,0.04,0.12,0.12,4.97,0.05,0.05,,,
TOI-3972,5424,95,90,y,-12.1,8.5,8.5,-999.0,-999.0,-999.0,Wang_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..21W,12.1,8.5,8.5,0,,y,RM,10.511372,,,,,,,,,,,,3.67,,,1.126,,,,,,,,,,,,,,,5424.0,,,,,,,,,,,,,,,,,
TOI-4201,3937,70,70,y,-3.0,3.7,3.2,21.3,12.5,12.8,Gan_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...969L..24G,3.0,3.2,3.7,0,,y,RM,3.5819194,1.1e-06,1.1e-06,0.041,0.015,0.015,0.04,0.001,0.001,88.0,0.1,0.1,2.48,0.09,0.09,1.22,0.04,0.04,0.1955,0.0008,0.0008,13.694,0.151,0.151,0.499,0.016,0.016,2.231,0.01,0.01,3794.0,79.0,79.0,0.61,0.02,0.02,0.63,0.02,0.02,0.52,0.08,0.08,4.64,0.03,0.03,1.4,0.6,0.7
TOI-4379,6020,100,100,y,-1.0,22.0,29.0,-999.0,-999.0,-999.0,Saunders_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S,1.0,29.0,22.0,0,,y,RM,3.25352,2e-05,2e-05,0.018,0.029,0.018,,,,,,,1.113,0.071,0.071,1.489,0.079,0.079,0.077,0.002,0.002,4.63,0.56,0.21,,,,5.1881112,0.1222413,0.1222413,6020.0,100.0,100.0,1.372,0.037,0.105,1.976,0.04,0.04,0.16,0.06,0.06,3.929,0.038,0.023,4.51,0.4,1.21
TOI-4515,5433,70,70,y,2.6,1.7,1.7,16.0,16.0,11.0,Espinoza-Retamal_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2412.08692,2.6,1.7,1.7,0,,y,RM,15.266446,1.3e-05,1.3e-05,0.461,0.007,0.007,0.118,0.001,0.001,87.954,0.039,0.041,2.005,0.052,0.052,1.086,0.039,0.039,0.13,0.001,0.001,29.67,0.27,0.27,0.772,0.01,0.011,3.24,0.05,0.05,5433.0,70.0,70.0,0.949,0.02,0.02,0.86,0.03,0.03,0.05,0.03,0.03,4.48,0.1,0.1,1.2,0.2,0.2
TOI-4641,6560,300,340,y,1.41,0.76,0.76,2.4,1.3,1.3,Bieryla_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.10955,1.41,0.76,0.76,0,,y,DT,22.09341,5.1e-05,4.7e-05,0.074,,,0.173,0.015,0.015,87.9,0.088,0.084,3.87,,,0.73,0.026,0.028,0.042,0.0009,0.0009,21.53,0.51,0.52,0.78,0.014,0.015,5.438,0.07,0.072,6560.0,300.0,340.0,1.41,0.068,0.059,1.72,0.041,0.043,-0.09,0.11,0.18,4.11,0.69,0.69,2.69,0.81,1.14
TOI-5027,5909,145,144,y,5.9,8.3,6.1,-999.0,-999.0,-999.0,Espinoza-Retamal_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2412.08692,5.9,8.3,6.1,0,,y,RM,10.24368,1e-05,1e-05,0.385,0.025,0.026,0.093,0.005,0.004,88.18,0.09,0.09,2.02,0.13,0.13,0.96,0.05,0.06,0.106,0.005,0.004,,,,0.921,0.016,0.015,2.999,0.286,0.286,5909.0,145.0,144.0,1.02,0.05,0.05,0.92,0.04,0.04,-0.15,0.03,0.03,4.517,0.006,0.008,0.4,0.6,0.3
TOI-5126b,6150,110,130,y,1.0,48.0,48.0,-999.0,-999.0,-999.0,Radzom_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..116R,1.0,48.0,48.0,0,,y,RM,5.4588385,7e-06,7.2e-06,0.0,,,0.06519,0.00087,0.00082,88.79,0.72,0.53,0.0634,,,0.4228752,0.01427427,0.01248998,0.03498,0.00065,0.0006,11.32,0.26,0.33,0.24,0.1,0.14,3.726,0.017,0.016,6150.0,110.0,130.0,1.24,0.05,0.046,1.241,0.032,0.027,0.18,0.13,0.13,4.224,0.051,0.062,0.8,2.8,0.7
TOI-5398b,6000,75,75,y,3.0,6.8,4.2,13.2,8.2,8.2,Mantovan_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...684L..17M,3.0,6.8,4.2,0,,n,RM,10.590547,1.2e-05,1.1e-05,0.13,,,0.098,0.005,0.005,89.21,0.31,0.21,0.18469085,0.01793421,0.01761957,0.91890603,0.03568567,0.03568567,0.0899,0.0007,0.0006,20.0,0.6,0.6,0.272,0.069,0.11,4.258,0.149,0.103,6000.0,75.0,75.0,1.146,0.013,0.013,1.051,0.013,0.013,0.09,0.06,0.06,4.44,0.1,0.1,0.65,0.15,0.15
TOI-5398b,6000,75,75,n,-24.0,14.0,13.0,-999.0,-999.0,-999.0,Radzom_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..116R,24.0,13.0,14.0,0,,y,RM,10.590547,1.2e-05,1.1e-05,0.13,,,0.098,0.005,0.005,89.21,0.31,0.21,0.18469085,0.01793421,0.01761957,0.91890603,0.03568567,0.03568567,0.0899,0.0007,0.0006,20.0,0.6,0.6,0.272,0.069,0.11,4.258,0.149,0.103,6000.0,75.0,75.0,1.146,0.013,0.013,1.051,0.013,0.013,0.09,0.06,0.06,4.44,0.1,0.1,0.65,0.15,0.15
TOI-558,6466,95,93,y,11.7,7.5,4.8,-999.0,-999.0,-999.0,Espinoza-Retamal_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2412.08692,11.7,7.5,4.8,0,,y,RM,14.574071,2.6e-05,2.6e-05,0.298,0.022,0.02,0.1291,0.002,0.0021,86.24,0.19,0.22,3.61,0.15,0.15,1.086,0.041,0.038,0.0746,0.0013,0.0011,18.56,0.57,0.58,0.9073,0.0066,0.0067,2.705,0.048,0.046,6466.0,95.0,93.0,1.349,0.064,0.065,1.496,0.042,0.04,-0.004,0.059,0.055,4.218,0.03,0.031,1.79,0.91,0.73
TOI-559,5925,85,76,y,10.0,12.0,14.0,-999.0,-999.0,-999.0,Wang_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..21W,10.0,12.0,14.0,0,,y,RM,6.9839095,5.1e-06,5.1e-06,0.151,0.012,0.011,0.0723,0.0013,0.0013,89.08,0.52,0.38,6.01,0.24,0.23,1.091,0.028,0.025,0.09097,0.00056,0.0005,12.61,0.28,0.32,0.23,0.088,0.13,5.1502,0.024,0.0216,5925.0,85.0,76.0,1.026,0.057,0.057,1.233,0.028,0.026,-0.069,0.065,0.079,4.268,0.024,0.028,6.8,2.5,2.0
TOI-6029,6223,100,100,y,-14.0,17.0,13.0,-999.0,-999.0,-999.0,Saunders_et_al.(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S,14.0,13.0,17.0,0,,y,RM,5.7987,0.0004,0.0004,0.091,0.017,0.015,,,,,,,1.635,0.032,0.032,1.284,0.098,0.098,0.056,0.00074,0.00074,7.17,0.39,0.31,,,,5.684,0.604,0.604,6223.0,100.0,100.0,1.548,0.027,0.085,2.338,0.027,0.085,0.37,0.06,0.06,3.886,0.016,0.024,2.31,0.58,0.19
TOI-640,6460,130,150,y,184.0,3.0,3.0,104.0,2.0,2.0,Knudstrup_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023A%26A...671A.164K,176.0,3.0,3.0,0,,y,RM,5.003777,2e-06,3e-06,0.013,,,0.06608,0.00098,0.0011,81.79,0.16,0.12,0.57,0.02,0.02,1.72,0.05,0.05,0.0851,0.0003,0.0004,6.33,0.07,0.06,0.904,0.005,0.007,3.696,0.018,0.019,6460.0,130.0,150.0,1.536,0.069,0.076,2.082,0.064,0.058,0.072,0.085,0.076,3.987,0.03,0.036,1.99,0.55,0.4
TOI-677,6295,80,80,n,0.0,1.0,1.0,-999.0,-999.0,-999.0,Prinoth_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..133P,0.0,1.0,1.0,0,,n,DT,11.2365985,1.9e-06,1.9e-06,0.46,0.019,0.018,0.1041,0.0035,0.0034,85.77,0.22,0.24,1.234,0.084,0.083,1.17,0.029,0.03,0.09404,0.00049,0.00064,17.49,0.39,0.4,0.709,0.01,0.012,2.535,0.011,0.011,6295.0,77.0,77.0,1.181,0.058,0.058,1.28,0.03,0.03,0.0,0.05,0.05,4.291,0.025,0.025,2.92,0.8,0.73
TOI-677,6295,80,80,n,0.3,1.3,1.3,-999.0,-999.0,-999.0,Sedaghati_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023AJ....166..130S,0.3,1.3,1.3,0,,n,RM,11.2365985,1.9e-06,1.9e-06,0.46,0.019,0.018,0.1041,0.0035,0.0034,85.77,0.22,0.24,1.234,0.084,0.083,1.17,0.029,0.03,0.09404,0.00049,0.00064,17.49,0.39,0.4,0.709,0.01,0.012,2.535,0.011,0.011,6295.0,77.0,77.0,1.181,0.058,0.058,1.28,0.03,0.03,0.0,0.05,0.05,4.291,0.025,0.025,2.92,0.8,0.73
TOI-677,6295,80,80,y,3.2,1.6,1.5,-999.0,-999.0,-999.0,Hu_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....167..175H,3.2,1.6,1.5,0,,y,RM,11.2365985,1.9e-06,1.9e-06,0.46,0.019,0.018,0.1041,0.0035,0.0034,85.77,0.22,0.24,1.234,0.084,0.083,1.17,0.029,0.03,0.09404,0.00049,0.00064,17.49,0.39,0.4,0.709,0.01,0.012,2.535,0.011,0.011,6295.0,77.0,77.0,1.181,0.058,0.058,1.28,0.03,0.03,0.0,0.05,0.05,4.291,0.025,0.025,2.92,0.8,0.73
TOI-778,6643,150,150,y,18.0,11.0,11.0,-999.0,-999.0,-999.0,Clark_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023AJ....165..207C,18.0,11.0,11.0,0,,y,RM,4.633611,1e-06,1e-06,0.21,0.04,0.04,0.06,0.003,0.003,84.7,0.3,0.4,2.8,0.2,0.2,1.37,0.04,0.04,0.0825,0.0005,0.0005,7.6,0.2,0.2,0.61,0.02,0.02,3.76,0.01,0.01,6643.0,150.0,150.0,1.4,0.05,0.05,1.71,0.05,0.05,0.0,0.1,0.1,4.05,0.17,0.17,1.95,0.14,0.13
TOI-813,5907,150,150,y,-32.0,23.0,23.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,32.0,23.0,23.0,0,,y,RM,83.8911,0.0027,0.0031,0.0,,,0.423,0.031,0.037,89.64,0.24,0.27,0.114,,,0.5986261,0.03390133,0.03390133,0.03165,0.00072,0.00061,47.2,2.1,3.8,0.3,0.18,0.19,13.0330846,0.2203743,0.2203743,5907.0,150.0,150.0,1.32,0.06,0.06,1.94,0.1,0.1,0.1,0.1,0.1,3.86,0.14,0.14,3.73,0.62,0.62
TOI-858B,5842,84,79,y,99.3,3.8,3.7,-999.0,-999.0,-999.0,Hagelberg_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023A%26A...679A..70H,99.3,3.8,3.7,0,N,y,RMR,3.2797178,1.4e-06,1.4e-06,0.15,,,0.04435,0.001,0.00098,86.8,0.5,0.44,1.1,0.08,0.07,1.255,0.039,0.039,,,,,,,0.419,0.05,0.062,3.6024,0.0216,0.0216,5842.0,84.0,79.0,1.081,0.076,0.07,1.308,0.037,0.038,0.153,0.091,0.091,4.238,0.038,0.035,6.8,2.9,2.5
TOI-892,6261,80,80,y,-12.0,18.0,16.0,-999.0,-999.0,-999.0,Knudstrup_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,12.0,16.0,18.0,0,,y,DT,10.62656,7e-05,7e-05,0.125,,,0.092,0.005,0.005,88.2,0.3,0.5,0.95,0.07,0.07,1.07,0.02,0.02,0.079,0.001,0.001,14.2,0.8,0.7,0.43,0.09,0.13,5.415,0.119,0.119,6261.0,80.0,80.0,1.28,0.03,0.02,1.39,0.02,0.02,0.24,0.05,0.05,4.26,0.02,0.02,2.2,0.5,0.5
TOI-942b,4928,125,85,y,1.0,41.0,33.0,2.0,27.0,33.0,Wirth_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021ApJ...917L..34W,1.0,41.0,33.0,0,N,y,RM,4.32421,1.9e-05,1.9e-05,0.34,0.1,0.14,0.04866,0.00016,0.00013,89.966,0.02,0.024,0.05034138,,,0.34704315,0.02230354,0.02051926,0.03995,0.00065,0.00063,10.12,0.13,0.18,0.05,0.05,0.04,3.4032,0.06,0.0432,4969.0,100.0,100.0,0.822,0.0079,0.0064,0.894,0.056,0.052,-0.221,0.131,0.076,4.314,0.028,0.028,0.053,0.022,0.021
